Gender,Brand Royalty,Subscription score,Marital Status,Monthly Income,Children age
Male,82.9767311499044,82.13654153918662,Married,2858.7604415051333,6
Female,84.0949841708552,87.0552077928861,Single,1981.3062860022305,5
Male,17.256556173306116,25.666669633942,Divorced,2939.973572948324,12
Male,7.471249422052296,0.9056876770692259,Married,1653.0414778588834,11
Male,64.42628005129558,67.81135511299459,Single,5301.106017345734,13
Female,62.143444954256836,62.53116425506197,Single,4526.477005098381,13
Female,18.656242926493146,11.26824893533972,Single,2428.136984862605,11
Female,50.594879154962946,63.17856355252027,Married,4922.180081540502,14
Female,48.81836862563681,44.36686949559076,Divorced,7396.278231022188,12
Male,15.08576193610751,-1.4701816861674004,Single,2449.768319145995,11
Male,82.50074090429916,78.90580613213035,Married,2805.1468125049923,6
Female,90.56993295963197,99.88896516125895,Married,2966.6910321319897,6
Female,43.38020826647798,43.1493168168383,Single,7735.367601237701,12
Male,65.68559907631085,71.73829400514666,Divorced,3894.4309587479056,13
Male,47.84929453082357,36.74074161422777,Divorced,7073.855024012252,12
Male,80.61613657175381,78.245835668975,Divorced,2205.1461970588753,6
Female,71.02288206575341,74.37674521715485,Divorced,4945.624565075543,13
Female,70.6784934455833,71.40066306241735,Married,4379.477156891522,13
Male,65.88970673847763,81.97318974212989,Married,4798.1669962571505,14
Female,85.44173838650067,101.18710224594692,Married,2149.863646567343,6
Male,64.84346447361662,66.26504133008693,Married,5185.651466044398,14
Female,88.66747028623752,88.63146182766802,Divorced,2583.8250179756287,6
Male,14.292729375039315,5.1618553819720585,Single,2433.1942617954,11
Female,14.512666458926269,3.626799032492089,Married,2308.7307827788663,11
Female,16.492720251645014,24.44344250999091,Divorced,2135.661444098743,11
Female,14.99463095463937,10.41577815745173,Single,2286.7355047213655,11
Female,80.3486850255259,76.62593724748915,Divorced,2670.9844669963804,5
Male,15.127243178211152,34.36654598103733,Single,1796.6815563503756,11
Female,86.07485803151386,81.82389853652471,Married,2871.826463181837,6
Female,79.58250190522912,93.00769014303219,Single,2660.7830654055247,6
Male,45.900304239705015,45.16105123170397,Divorced,7398.312687494315,12
Female,72.43808427454533,69.28394652717522,Divorced,4991.690392952908,13
Male,1.982603283626311,-8.512240552308066,Married,1575.9641159637017,11
Male,94.9692661235515,98.12907504669406,Single,2800.6376827246136,6
Female,8.212487293629366,0.6417745371283257,Single,2261.7758088747178,11
Male,48.09822708925009,47.19141492914789,Married,7047.126271953707,12
Female,85.59358409133736,88.3913911346111,Divorced,3028.3147996555476,5
Female,48.34902259338175,53.1977033097188,Married,7151.0982012038185,13
Male,73.89500263083924,58.83815792500425,Single,4875.9799174286545,14
Male,69.67945581830199,73.25612570613025,Divorced,5015.368006083123,13
Female,53.54768680416694,43.54848695617487,Single,6857.100537136613,14
Female,8.643234801035163,6.576258497242804,Divorced,3069.5108321754033,10
Female,60.65980042975015,56.58620545975897,Married,4215.037224749112,14
Male,54.198818516640806,58.324621945002804,Divorced,7157.85599954825,13
Female,58.73339474567703,75.70537220981845,Married,4609.722535412156,13
Male,45.11559095103756,53.5964118173631,Divorced,7235.390586437456,13
Female,11.470543104002736,30.322269497701296,Married,2218.5853431253454,11
Female,59.57689840925875,50.37035354443377,Divorced,5253.516641690768,13
Male,86.45858207985603,95.75372174658094,Divorced,2409.849641430904,6
Female,11.814973601155891,5.28900513607393,Divorced,2447.4357445853893,11
Female,82.20885364562295,94.63656412450231,Divorced,2349.004124566889,6
Male,87.05781054485395,80.36697072181335,Divorced,2086.3025780710436,6
Female,65.90839669272472,63.89227730762798,Single,5086.274972883418,14
Female,8.594023005674657,11.539441144421614,Divorced,2182.4174413310684,11
Female,64.07695596739826,58.98570737781479,Single,4755.860793202643,13
Male,87.69624822747907,100.40552401463218,Single,3250.5956649548566,6
Male,54.295155640389225,55.94380449701057,Married,7034.83995878703,13
Male,45.530228737081366,34.04702299164591,Divorced,7442.310326968747,13
Male,56.59962010306066,41.521670109653705,Single,6716.263506527751,12
Male,59.961057751857794,62.196880575939936,Divorced,7872.438538893959,12
Female,70.34031519273847,71.76525365135544,Married,5364.912747580766,14
Male,97.28195880625253,106.27842675094027,Single,2860.960100682139,6
Male,53.205526671188764,64.89065040248178,Divorced,7332.548736522325,13
Female,50.733154438262765,47.05366775091969,Single,8333.333333333336,13
Male,55.08819524295277,59.295416260351665,Married,7551.347999892933,13
Male,51.124147059545905,54.44257664462982,Divorced,6991.414582699711,13
Female,91.42769460198438,102.24866853578861,Married,2842.880996133687,7
Female,52.78856228816903,44.21936866942383,Single,6472.05701641356,12
Male,73.95621410277184,71.81571816070218,Married,4604.8083287561685,14
Male,46.4611206474541,43.05830541653523,Single,8039.991211435972,13
Male,66.90214764962842,72.01532567866032,Single,3840.618878141071,13
Female,93.2631932710444,88.66750028970729,Divorced,3069.9680480843294,5
Male,4.99637995371323,-7.719454647489679,Single,2647.033680632446,11
Female,69.77672017580507,68.62641175363,Single,4471.999657108825,13
Male,11.14568535426556,13.494699098361535,Divorced,2804.912231727866,11
Male,64.82462434327013,63.240403376810335,Single,5353.840430803693,13
Male,61.80062505402016,51.22327739875473,Single,4027.6626675707366,13
Female,55.90456213166918,58.24839535247401,Married,7357.044477081074,13
Female,88.2336564812833,91.45945597682721,Married,1835.0270277271761,6
Male,81.88086088349203,66.04722139926913,Divorced,2159.1662814709653,6
Male,89.65389922602384,93.37247673946835,Single,2750.1699760449956,6
Female,78.99517402957757,80.43332363828638,Single,3134.044205933734,6
Male,82.24663703259657,81.89929609388166,Married,2944.443591473354,6
Female,52.4007917839528,68.48507645244553,Single,7213.372568931472,13
Female,56.82598647233732,57.85131971256865,Divorced,4912.603974538598,14
Male,17.990831996830792,13.070662613105108,Divorced,2146.9797581522535,12
Female,14.827573130404183,5.711876093637963,Divorced,2795.2577084685877,10
Male,76.02294025246641,80.14527823773915,Divorced,3020.9385444206896,6
Male,86.79532837656899,93.69660962594742,Single,2767.3686822241807,5
Female,16.400819322791847,23.446035471606727,Divorced,2542.930229584886,11
Male,85.22893359436941,107.94807477619162,Divorced,2386.8576474436886,6
Female,82.07520900745308,79.57896105703459,Divorced,2589.0030029115765,6
Male,74.26925144268186,63.280186743386885,Divorced,4793.721354209648,13
Female,19.785246330747665,13.256002062430525,Divorced,2474.4093899543245,11
Female,88.49939567280589,96.60965270407662,Divorced,1792.3029928512387,6
Male,5.977258411304305,12.328934889650014,Single,2553.5767206643336,10
Male,13.552262803776948,11.195848490144765,Married,2284.4262799758776,11
Female,54.11196417981505,44.78560457483323,Married,7440.308311669247,13
Male,89.1776840920992,83.13031135609248,Divorced,2742.2375728508014,5
Male,67.97297884013585,65.36361336673973,Married,4415.17826674495,14
Male,84.5516616859172,97.5734195661387,Divorced,2916.6525768697134,5
Female,9.667592116506754,5.973875904524085,Married,2113.137911949167,10
Female,64.25970393763863,73.61272267681836,Divorced,4709.5244753149345,13
Female,67.5473553729874,67.88433379033782,Single,4641.998609221538,14
Male,52.77229389122115,50.480164599364805,Married,6788.260081352566,12
Female,52.354722578531096,41.808027075357586,Married,6996.440082930047,12
Female,72.32751633451596,69.92748061026704,Divorced,4577.993384810778,13
Male,73.05419841195562,63.55176766531317,Married,4599.286619553563,14
Female,66.09290108802307,61.226652622520476,Divorced,7259.354709911802,12
Female,71.95403594740411,55.208304648763615,Divorced,5164.051404448701,14
Female,46.843953159928404,32.654423346331775,Divorced,6707.399098083655,12
Male,67.7417579201081,46.678818398095984,Single,4639.3283043541205,14
Male,85.37315854698537,103.42988083649281,Married,3221.554540405903,6
Female,87.75287941128263,95.80996264788318,Married,2472.9825005748708,6
Female,15.604025946804683,21.365895639662856,Married,2519.905389424941,11
Male,80.29243415554312,92.59345948914269,Divorced,2363.6690632859086,6
Male,20.00541797949386,3.2224468592522797,Single,1974.8269894027121,11
Female,91.5824072719007,95.54824656345001,Single,3116.29866867049,6
Male,19.270357829408027,22.32374189716919,Single,2333.192470645013,11
Male,51.291305971332875,63.42239760570905,Divorced,6289.985598848212,12
Male,49.31063936638791,46.70237338623461,Married,7027.838832355255,12
Female,67.72544593512583,67.71355830217618,Single,4801.483439648079,13
Male,67.5223619844728,52.873401163078626,Single,4765.532296072601,14
Male,80.39512051235099,88.3617439106761,Married,2023.52174830887,6
Male,85.43123379226029,80.17665055616006,Single,2537.9047157568725,6
Female,67.3897299886784,72.49124780028842,Married,3920.753989002228,12
Female,54.5311993994024,64.91314441359572,Single,7021.088081031333,12
Male,64.80571721040982,65.65590571030047,Married,4895.465156229461,13
Male,8.182734054749318,5.403168773559356,Single,1908.2338026011857,10
Female,14.565155115385473,19.583918086003333,Single,2877.3382453976324,11
Male,89.61690380806117,76.10106129985425,Single,2030.2603203056324,6
Female,69.04394037001393,89.43034835797997,Married,4425.018151163734,13
Female,71.28579520569838,72.06227624228744,Married,5035.074710777912,13
Male,48.53869092617651,51.846065207362834,Married,7148.545562729976,12
Male,6.6817759534258485,-0.6342439767251404,Divorced,2653.932028726927,11
Male,23.766567033145975,11.26494749124488,Divorced,1484.722624016138,12
Female,63.20750791519099,68.41648412370625,Single,4339.400953315185,13
Male,84.68485456562539,81.88933936673939,Married,1999.7979603199692,6
Female,11.44844772654261,10.580406297979545,Married,2418.1783126917494,11
Male,65.69243143215698,59.95697808186326,Married,4561.713261128897,13
Female,55.04969927020696,55.523517767237486,Divorced,6936.659728015988,13
Male,59.92054011772127,56.180356377512794,Single,6521.200193967014,12
Female,88.17685278019133,99.8625467954686,Divorced,2827.4723160046965,6
Male,57.14552972217463,55.15372855361699,Married,7379.95028251157,13
Male,65.45517201221335,59.980447080327856,Single,5038.111357631103,13
Male,51.26273456932233,68.68350894445014,Married,7633.609218842737,13
Female,89.39055806235001,99.853598554499,Divorced,2805.3791854838005,6
Male,51.79808670985197,52.70107058844776,Divorced,7099.036606704634,13
Male,28.176725782696696,22.745327397951147,Divorced,2074.800847227284,10
Male,11.055618479320955,17.946189234595998,Married,2090.9250235668387,11
Male,50.873431922896536,48.40886662154727,Single,7860.001949227217,13
Female,18.987553084772944,13.583894091229496,Single,2253.006705401196,11
Female,85.23805473543717,94.44779421158788,Single,3617.551103436467,5
Female,15.780868452175667,19.146872064038547,Married,2382.7624544671467,11
Female,83.21061981816393,86.49537212737553,Married,2864.1240113285307,5
Male,91.32615343004667,89.7274649777221,Divorced,3098.9787985508074,6
Female,70.54957711435043,58.17708723912981,Divorced,5070.344783254823,14
Male,52.3105414787861,59.58832361838948,Divorced,7310.9636413562575,13
Male,84.12252019796333,89.71151885454996,Married,3213.4616769907584,6
Male,57.86312595904259,56.17921837462867,Single,7486.245500311418,13
Female,88.10911280381185,93.11168061525943,Married,2728.778817562585,6
Female,95.38431476243713,104.6250314948562,Single,3255.530195215435,5
Male,65.14389749366363,75.93712193501268,Divorced,4724.138589883304,14
Male,83.21001017558197,79.0384100797306,Divorced,1585.179266917045,6
Male,50.12575864688166,41.37159822362116,Married,7495.983703663796,12
Male,72.78255146061339,81.0413800293005,Divorced,4616.0631143905985,13
Male,13.519258054176817,10.000232026893254,Single,2577.734140055584,11
