Gender,Money spending score,Household Income,Marital Status,Age,Time spending score
Male,76.32774372882182,179794.46037697763,Single,74,72.12391868245355
Male,28.470857977445114,188263.7478710917,Divorced,52,34.475401297083046
Female,41.45711192501217,77470.63912679956,Divorced,66,38.940476756471924
Female,34.70482531813637,85481.06717532084,Divorced,65,39.52230791154799
Male,17.24885302051254,175983.83879792597,Divorced,49,10.623400434529593
Male,65.02960400690081,181819.42244170408,Divorced,74,71.65109891129144
Male,31.852545354595208,62973.28880292807,Married,69,30.153720806370032
Female,74.3599159896181,155193.4699409575,Divorced,67,75.1710370832718
Male,23.71291487548085,55649.365601360725,Married,29,19.301626585376845
Female,33.354014167581546,59929.19669341878,Divorced,28,43.809913642028306
Female,36.728194384026864,79326.99665599203,Divorced,73,46.44024114834319
Female,85.16709179351118,169979.2753650016,Divorced,72,95.1386795995781
Male,33.15655488004121,99676.16215425338,Single,68,32.55063626764716
Male,16.455813880378454,168962.5247597324,Married,57,20.294447486454615
Male,69.13134339777935,179637.72261374388,Single,72,60.573771579609755
Male,39.79556321748751,69885.19738896206,Single,30,36.588488951813154
Female,81.52822130045814,157588.48633046405,Single,73,89.2129566632303
Female,39.12882238232197,67435.55698334408,Divorced,69,46.50113960378232
Female,36.95008819604346,173490.389804982,Married,47,32.068127524005654
Male,20.035688779088627,165522.20686445315,Single,49,15.896289951787411
Male,94.53202508836759,161945.3028147082,Married,74,89.03501918023517
Female,87.02934126648054,152590.39999067574,Married,73,83.32202220807734
Female,34.07620276251696,87696.36013197407,Divorced,28,40.28871219943312
Male,81.61578358551316,163538.86025834412,Single,75,80.12611097591174
Female,46.35882264014574,75102.74395782201,Divorced,66,52.05356331103297
Female,24.196346934821218,159035.82271487534,Single,53,21.249402806744786
Male,57.59409557691069,168190.71539357654,Single,71,58.82959052366766
Female,34.185861516870034,79274.6082970252,Single,67,52.67721847746442
Female,11.068289731675762,178713.16545759686,Single,49,17.080812820295435
Male,26.687871643587897,145108.332669309,Divorced,50,30.104157266195262
Female,76.84453935425998,169641.56027407496,Married,72,79.80495029693785
Female,46.070084881039215,66776.993534143,Married,72,49.33662610359089
Male,28.636398164900747,170232.13345499808,Divorced,53,28.76796095760251
Male,58.603606144986315,162122.3906823806,Married,74,60.179669911329846
Female,34.41873702314023,58522.48449153789,Married,69,33.548519193822074
Female,30.538446609131555,176387.04597169632,Divorced,47,43.81456178235896
Male,22.56347257772611,152305.25938847056,Divorced,56,22.85246964690332
Male,69.1887050620611,151828.75974284668,Single,70,74.09505928214622
Male,32.18135726012107,57213.40741357798,Married,28,16.481685088695727
Female,30.21440121056922,170437.56849540776,Single,52,38.623823062616026
Male,29.744379025805912,80025.53475491906,Single,31,27.527428350244335
Male,27.88499987919637,73357.6261920574,Single,66,29.72758660997055
Female,31.42596783222699,111512.36728925901,Divorced,67,17.52786357851633
Male,46.655057263884316,87019.13033338939,Divorced,69,44.25671530200255
Male,63.098969910517255,131351.17527311918,Married,77,56.026003403656915
Male,80.6545732596094,138424.4121508883,Divorced,72,67.65429332988826
Male,32.2535582437069,53228.174261695836,Divorced,20,26.17106338086122
Male,43.09673191359166,93982.52375081713,Married,68,52.32967640851254
Male,31.010311290070984,178643.52839940836,Divorced,53,20.681770318469596
