demographic_factors,product_awareness,Season,promotion_effectiveness,advertising_spend,Sales,consumer_confidence,customer_satisfaction,financial_circumstances,sales_channel,pricing_strategy
1,,Winter,0.5571450937611239,5819.348710962189,9047.391729883333,0.8908526594697465,,0.33358936057295363,Call center,79055.14271358636
0,0.6022507245812438,Spring,-1.5910285879717412,6140.068522572028,5883.366677046808,-0.44527641228315645,4.069077902963052,0.2670029873248069,Call center,77866.72540520634
2,0.37818971546445534,Autumn,0.9520621009904086,5719.072134256108,7507.467012290912,-0.5128336722766706,4.957529971258639,-1.7633673432483763,Call center,75457.806441853
2,-0.2956325316633359,Summer,-0.06342984412643438,6017.096216244963,4328.7438819160025,0.47104653947535,4.868537019969258,-0.5429722553820546,Web,48023.39514327592
1,-0.4508304229533269,Spring,-1.3589876066127766,5034.8954477280495,2570.6061727081537,-0.7464959211366842,5.058295425468052,-1.636431221919123,Agent,35466.71245713184
0,-0.1391068239567474,Autumn,-0.9714887838189633,5097.3170280504055,4686.947189429509,-0.7595397926784543,7.4140494940180846,1.3891076107883975,Call center,51080.035659626774
1,-1.0166077723649147,Summer,1.7847714984491956,3959.0208475592844,4924.103354964496,-0.33668859783981747,7.685162851617783,-0.0689572099425297,Call center,36557.9583776284
1,-0.2743119104237243,Summer,0.5761113281672848,3813.6762921737445,4213.437342898971,1.010146925084179,4.473977878843215,-0.5124181183100593,Agent,36952.459320483205
0,0.8272117513098068,Summer,-1.3458213456003882,7146.014560860197,2976.316941308999,-0.14794119455372037,6.904381884008869,-0.38235179523310414,Web,34717.54728712401
0,-0.532779673509716,Spring,1.8930669510784834,5881.819146478644,5660.482442244041,1.7994339316375498,4.801348537557579,-0.5445494776633312,Call center,45651.27764222535
2,-0.3592847372286191,Winter,-1.1482484257299284,3897.7628596865725,5646.2329082030665,-0.8369955556692763,6.9944465201104125,0.8160492560398362,Call center,65131.38495108868
2,-1.3475763652425692,Summer,0.12786851143426728,3521.577284645964,6473.195118125155,0.4828489419238522,5.144805407584085,-0.3047316111341133,Call center,67976.1612369092
0,-0.8910245252689929,Winter,1.2435437663703583,5491.224143514502,7594.178570430764,0.5873977722034406,4.53578365049214,-1.7279255288769986,Call center,75926.00036893008
1,-1.138045221544435,Summer,0.3722695939106549,3235.669765927022,5837.725787577768,0.9780598459397629,3.513718776201402,-0.7468738034018292,Call center,66539.4341596248
0,0.6275865889264284,Summer,-0.06745646228760109,5601.620303452427,6492.068262038236,1.7496556382819133,6.708757924934048,-1.017241333731879,Agent,56671.03595254191
2,-0.3684433847404525,Autumn,0.9576338654848615,5875.134145490111,4519.045143096204,0.13189409220103412,3.7360603292237977,0.5970313972831959,Call center,46427.050564518104
2,-0.4758518326973578,Spring,0.7805131152962481,4034.0427781385633,5542.07354818592,-0.4342422163529381,4.734190948190271,-0.2679702339675365,Call center,57650.3494825994
1,-1.3615150334558206,Autumn,-0.4738154416165184,5676.575425832889,3968.8149966022743,-1.12939704051529,3.5461375920039755,1.5517424934870179,Web,59515.63525912731
2,0.6935245164845744,Autumn,-1.6118347061460219,6686.5801507096585,5499.934409527302,0.4339602412994558,6.156405886849308,0.7782925568899836,Call center,63504.92986425478
1,1.3104553005105963,Winter,1.0451800910867919,8108.848378441434,6896.752127757852,0.8334413343372058,7.004138208621879,-0.37235294999252555,Call center,56700.29274379929
2,-0.31018504014004233,Summer,-0.4036263043607731,5730.156108738084,3905.8675749648355,-3.24414416891634,6.70528547317215,0.7973359569384124,Call center,50753.33113471086
1,-1.3437772769784642,Winter,1.6391060893930012,6547.343583842794,9009.084422014957,0.6170214482982761,8.650836563780665,-2.272643557114442,Call center,75351.59673293002
0,0.4794343339105442,Winter,0.7659816837685437,5235.537670401488,4490.226846148175,-0.46691271919314753,5.3129359728093215,0.4733078727445733,Web,46620.38910753024
0,0.2908162675145547,Winter,-0.32941762777880107,4838.249084240213,5505.842266003001,0.542824105562011,5.412981667470996,0.7171585149872001,Call center,57747.6401759204
1,-1.7186542562824012,Winter,-0.26616381147792584,5528.844532565595,5827.129506765143,-0.14730061993837765,5.439772731844266,-1.6313021291504284,Web,67589.55890073485
1,-1.7326297987845334,Winter,2.102519083381804,4982.673041728947,5391.168422728273,-1.7095912899008818,4.823758941075799,1.1751207369964134,Call center,55947.67226707971
0,0.7804746416749244,Spring,0.12308819454013761,4745.87767331038,5202.006803901431,-1.5705455919979474,4.250122703641947,1.6276298394311106,Call center,61749.69960347189
2,-1.3350793072788902,Autumn,-0.9559334983946637,5506.653555320614,4374.846553551728,0.8370428514930629,3.625530540052463,0.47403005345195837,Call center,58300.37662240625
1,0.3406642644010423,Spring,1.3749868726685044,2172.0801643591794,4141.123756139971,0.6183578041417936,3.699193297173637,0.19215240573222883,Call center,37916.0776803551
0,0.528813825649192,Winter,0.9691826221479934,7585.50599551547,7000.099071302062,-0.4760345068026541,5.137168661609651,0.7347126519425963,Call center,68069.37470291916
2,0.39258640171328385,Spring,0.021273604062522676,4654.9433878009995,5854.074410274147,-0.4861648566369125,5.892332726364995,-0.6174175305342465,Web,63542.09675558338
2,-0.8851014695007162,Winter,-1.0165971160470078,3415.917671420886,1610.4966600524072,-0.1822748380355283,2.6981790321418635,-1.4325303351225687,Call center,32891.35141950152
1,-0.15637332643781476,Summer,0.7903129213730095,4600.577432378907,6051.786641367877,-0.6670482261513581,6.687694073746357,-1.9503784197126053,Agent,55756.2439561274
2,-1.6918718656910203,Winter,1.0788367540680879,5428.274481652252,3449.4951029374665,-0.7251600279745052,5.693740377549137,0.31056806994081315,Call center,35049.60864888631
0,1.6669858575991778,Winter,1.342712637704842,5770.888454914094,6660.2466233919795,0.1504150665031992,5.156727374045764,-1.1664661212051943,Call center,58505.12163361808
1,0.4005569518728493,Spring,0.44760656582211134,3429.519366008787,4574.519531970714,0.016874958138741857,5.38744568138764,1.1869786755451626,Web,45274.43305477337
1,-0.8690571949937367,Summer,-0.3497143202197016,5389.276057730547,2174.8249191523187,0.8129165276491006,3.157025160366444,0.6840967243729875,Agent,27684.032950501667
1,0.7288966927666353,Summer,-0.09993598204024369,5258.82686093237,2789.8424680157445,-1.369312813077321,5.734130337603443,-0.7512939091071459,Agent,28844.44493554013
2,-0.18131901718149182,Summer,-0.4146340061735072,5763.264245295682,4243.138357352612,0.3409779460337083,4.318582052724756,-0.4718726837014424,Call center,47316.94423745523
1,-0.2079836370271872,Summer,-1.187991074591457,4687.670602072043,5748.154728340164,-1.0318377841781736,6.078817194009167,-0.0636813290682929,Web,69867.68054345598
1,0.47650212295236266,Winter,-1.333827404539919,6020.199352908238,6241.178986390472,-0.4895852594879534,5.290318621144924,-0.32571355744068453,Call center,75295.40377301468
1,1.9409165218722755,Spring,-0.5239969988632455,3852.828945788635,5819.675348246733,0.1751916365875117,4.387294618822881,-0.7442939042462046,Call center,66301.19904280461
1,-0.1170538961699179,Autumn,-0.5767466857530272,5037.0148656394085,7481.60989833651,0.617322137561543,10.0,-1.4783013954593027,Call center,64206.55596165405
0,1.003473620772778,Winter,-0.5669848984828326,3376.1128389271425,4496.775187984086,-0.28905752788646943,6.576041168886076,-1.3236434736588012,Call center,44712.049160511364
1,1.2161031357558574,Winter,-1.3824303538396707,6853.375507066956,3214.075954120253,-1.3175986336325076,5.17633592690824,0.3980947499433567,Call center,43648.81578702054
1,0.6378457512273892,Winter,1.4577908001002542,3681.913580752046,3827.698986979919,-0.1562608667592277,4.569080242603167,-0.4870940350230341,Call center,33057.01598800845
1,1.532254187849415,Autumn,-0.46371389202953883,3527.424241447526,4841.239319936576,-2.5372914820657773,4.54043454171935,-0.005069772800617637,Web,64776.548087323055
2,-0.7701785082198044,Summer,-0.8775795851111822,5048.838008032424,3754.460431398059,1.6282426444395648,3.615340876926366,0.1942044960901423,Call center,46407.96468967471
2,1.6159462163446716,Summer,0.21931928712359766,3100.953513529478,5014.010668314253,0.09267066301518463,5.230981023238199,-1.2375275358792388,Call center,48042.518190478564
2,,Autumn,0.49398898946506287,5609.931116495575,4354.311200857311,-0.20069012923187338,,0.48112346621716756,Call center,42104.46034774755
1,-1.3062092209419291,Autumn,0.213230348619831,5699.745698809438,2620.3307166817012,0.017327206716381487,4.372986628118285,-0.9637233509526816,Call center,31336.655034895928
2,0.8032568605229583,Winter,0.009729463141752031,4059.842419356105,3840.3426109540515,-1.452584440704651,3.805703923547723,1.8549707026904687,Call center,47121.69149989228
0,0.8202151540180374,Autumn,0.34697134655586565,4157.914577543375,5351.940896885881,-1.1071920040821475,3.3859198467517344,0.00975562595240692,Call center,63383.11728288576
0,-0.6208804085689349,Summer,0.42214525186787455,6110.436079089728,2314.814570920166,-0.2741712985279882,3.8999416244849727,0.9759096710394198,Call center,25419.64369235286
2,0.5480190983358406,Spring,0.3456957818220656,4334.503244549987,7714.215225230489,-1.299547217336588,4.317175323135989,-0.5391095653417429,Call center,86734.39471734734
0,,Summer,0.6821174748699398,5170.3754119604455,5803.789596115214,-0.11306122433884616,,-0.0897949264293776,Web,57246.632946034755
1,-0.4362485836225941,Spring,-2.0514249863397147,3172.642283170753,4027.171525502914,-0.5898689731523472,6.097031748698784,-0.7154831027800115,Call center,53111.25025106171
