Household Income,Gender,Money spending score,Children age,Time spending score,Marital Status
68083.98546987452,Female,64.38690884068204,9,64.58992048395523,Married
91344.09819857389,Male,43.072036536853005,6,44.60112249590175,Single
188347.7940724187,Female,34.631445852870144,13,31.70144326654245,Single
86589.59111530209,Male,52.26826521432014,5,38.452581007713455,Single
68942.09658165168,Female,79.4616908906585,10,70.11344724795833,Divorced
56303.22576512645,Female,69.45541144655108,10,67.60440696774582,Single
90907.8422601622,Male,51.15591454001419,12,63.89303660504139,Single
83316.19212758404,Female,77.54827843724527,12,79.83181208419906,Divorced
59696.586039629074,Female,53.50162151364043,10,53.23419041295979,Married
85765.65347105812,Female,41.522449420436686,7,36.883161526486106,Single
90864.67439349473,Female,47.25513182796334,7,44.41899457017963,Married
71386.20650027276,Female,68.079592863322,9,61.944079031343946,Divorced
186641.80970379163,Female,32.979733193507556,13,32.91435394478899,Divorced
41813.63331056453,Female,73.5866853629064,9,87.79879799859665,Single
104238.18498186182,Male,57.984421470533995,13,67.16045704551524,Divorced
56256.48839607157,Female,67.1818972775084,10,63.50715538211141,Single
78075.48437178282,Male,35.07474982743034,7,38.914642851252836,Married
178083.0894023497,Male,24.525942992823225,14,20.65003537581632,Married
83069.99969449874,Male,75.66630996369997,12,82.2274194053326,Married
92952.35166118883,Female,35.16815524966,7,36.261123609062025,Single
67888.85121433574,Female,64.08269940507758,10,61.557407941670476,Single
91458.77877985004,Female,75.78967987521168,13,74.02585638269814,Divorced
160250.18172890248,Female,23.043119113198372,13,21.378090387282096,Married
92764.03621217518,Male,73.4469047617667,12,71.02615200891316,Divorced
60977.40404225657,Male,66.46387115078521,9,57.91926069725903,Single
170124.12911377734,Male,35.27925684750494,13,35.41151390993381,Divorced
65036.52795812921,Male,66.33867012569904,10,55.78887563290124,Divorced
50945.53775292529,Male,63.1428285073929,11,60.598383915102126,Married
59288.557998339005,Male,61.46511643018653,10,61.66467541538963,Divorced
167296.62037157663,Female,35.80113575365537,13,43.446288263409485,Married
63704.02852882831,Male,76.64955751982738,10,75.2881070364065,Married
89770.5738351994,Male,47.371098005221306,7,40.03552638756937,Single
89885.78971989342,Male,28.952039396703988,6,27.674675359493968,Divorced
84223.92351550293,Male,68.65926634651801,12,68.3969725042799,Divorced
90637.30797097075,Female,30.843465564718368,6,40.919581374649425,Married
184825.7449061132,Female,19.29889689018787,14,19.86634635889858,Single
90212.390235695,Male,68.11800999308579,11,66.70084230539797,Divorced
98492.83744544671,Female,68.0091955441592,11,59.045168740216084,Single
92606.56234218282,Male,60.54838589951726,11,58.468261207073745,Single
64924.27753443973,Female,73.48328537669309,11,85.66263883205532,Single
89452.60743120499,Female,40.54438331466524,7,47.79722304303875,Single
96490.60427849098,Female,84.31520853506791,12,87.8374193645503,Married
79369.35133033767,Female,71.08299476351242,11,63.27115270390894,Married
166543.09624508966,Male,21.547986217297854,14,15.508103217473597,Single
86085.45693421885,Female,28.063118530518864,7,18.318012290982566,Single
176017.82933181012,Female,35.95665621042007,13,38.34249437857558,Divorced
90329.75144158714,Male,72.27493479395292,13,64.74422958762489,Single
45970.37422030547,Male,69.48305543609732,8,73.07256560633688,Single
86332.80773702933,Male,67.60448613899553,13,69.04699585229878,Divorced
177036.33412895093,Male,40.25156112550202,13,21.018685151803094,Divorced
62907.86055965738,Male,57.810838799109526,10,49.66597450330552,Divorced
83248.98842260818,Female,47.64898621452117,5,44.78169187860953,Divorced
47928.59571387441,Female,67.2916191651465,9,72.33426760893555,Divorced
94348.21631957975,Female,26.108915706294333,7,23.379935462181628,Divorced
176750.59189999537,Male,33.4846208575198,13,38.15725797592677,Single
80297.83599283082,Female,39.16682444329076,7,38.69876730026641,Married
164695.49423837764,Female,12.495381760152853,13,11.1229742821206,Divorced
42398.832368205985,Male,80.53180488528832,10,74.483952927054,Married
88964.49264923192,Male,73.09059381514619,13,71.31605088834893,Divorced
66915.90338937784,Male,63.71606820128034,10,68.65015850925639,Married
84077.55959773019,Male,45.22084551618381,7,39.19943138899859,Single
