distribution_channel,demographic_factors,promotion_effectiveness,brand_image,Season,advertising_spend,competitor_pricing,product_quality,Sales,consumer_confidence,financial_circumstances
Retailer,1.0,-0.8413090316604306,-0.45393808861719503,Winter,3530.545096668227,34360.25290941988,4.1024714876175254,3346.861554490215,-0.08664727834730929,-0.010034406138331863
Distributor,1.0,-0.16888534961851615,1.5183955887598402,Winter,4704.096573698897,44756.72038854789,2.696336189213337,6174.401988509597,0.19409167389861692,-2.560153564639261
Distributor,2.0,-0.591942083615148,0.05784475675013718,Spring,1610.7138177786533,46071.07392869763,6.475169792345618,7319.862886185567,0.2992625899544115,0.7195182962489645
Retailer,1.0,-0.07584908027443167,-0.8122858063095187,Autumn,5846.940722977389,57572.52369592222,1.9468988447115745,5663.765127748276,0.2514002193556415,1.2834209847950744
Retailer,1.0,1.7584338101654675,-0.13664194871587376,Winter,5190.6115745749785,57677.40201419344,6.667584413870517,3663.0572815514515,-1.422245474437469,-1.3982376983206637
Retailer,1.0,-0.0542955483751449,-1.6222791043839764,Summer,5337.709019543837,72241.29790176767,2.7413649597221283,4524.943406629539,-0.4782993078649916,-0.9428096089537549
Retailer,2.0,0.729181288880266,-1.000898500699114,Summer,4949.06179847409,39667.56514764289,5.04482969592158,3413.756993278456,0.951864446047668,-0.7344418155303198
Retailer,2.0,1.092875084840433,-0.47439262354514417,Summer,5568.211228355767,55036.950008544954,3.1299811738328014,6150.43291012368,-0.15276718807793688,1.1533186721664621
,,0.25358385898908187,-0.6185837042967032,Spring,5605.475821283024,64031.96472137969,3.362560320432883,4952.862889913165,-0.7862223097726578,1.0412456728633255
Retailer,0.0,-0.3968032266071132,-0.739769786624121,Spring,5244.344625690107,57281.21380624611,3.536595041672357,5005.127868303632,0.8592501273523229,0.024318532884759412
Retailer,2.0,-0.6985751492353846,1.0046466912841518,Winter,4603.872449998612,56585.4081667873,5.4825313957858395,6594.918371558319,-1.0296947338056202,1.273743056098303
Internet,2.0,0.17859158418295906,-0.6320536220241874,Summer,4106.406456904385,49232.05295898156,4.938713841059333,4065.339260734533,0.10467062294544664,0.9801446539631389
Retailer,2.0,0.910271508161261,0.9712226839185283,Autumn,6880.9174492173415,93408.92504220252,4.753116364179169,7328.238213473027,-0.9253460487615605,0.3965404342019007
Retailer,1.0,0.4318532483090131,0.052644637943361675,Spring,3591.5216535870723,43635.429540210534,2.603575656419285,3895.958671587344,-1.7344959167603553,-0.7009920838829248
Retailer,0.0,-0.6543652950627119,-1.1869724237859882,Autumn,3498.803111832808,42426.96591927855,1.542530270241278,1809.0036385762091,-0.38989438724917824,-1.6455942609546086
Retailer,1.0,-0.9215011915460778,-2.000392842888736,Spring,6477.185911345926,53791.484001267374,3.1110549841744106,4999.312730391938,0.7627796486901829,1.0377221884908792
,,1.6823700150303036,-1.4550508289330706,Summer,3035.8746259035734,50705.284961164776,4.74511210268146,4905.857658722232,-0.4205291393225519,0.8107207228294224
Retailer,1.0,0.35572822145115535,0.5046240090746599,Spring,6913.652577834553,64057.41948400697,4.648088184536645,6696.094054039765,-0.31264859954170726,0.5756603287198638
Distributor,0.0,1.3507850077521717,1.2492557689092747,Spring,4431.331651926317,60191.44298924688,4.127511507502711,7647.784006216885,1.308094532835037,-0.011396105536722092
Internet,1.0,0.1688855976759534,-1.7283386258425724,Autumn,2579.1531213868384,69837.77075016849,5.782667198117505,5235.066058626147,0.7299317506379003,3.2332832020107207
,,-1.287045311641113,0.8925292647529756,Spring,3138.1248469143343,85306.22843976345,6.48400503889256,6801.727947848152,-1.1424445286304803,-0.5636332395901282
Internet,0.0,-1.551403606291541,-0.06192794919016703,Autumn,2562.570294976125,49426.439207723066,4.508801056403558,2405.072763039627,1.1848034444452402,-2.333875117937564
Retailer,1.0,1.8519204377957532,1.219261437190755,Summer,6934.746868269518,63592.80244078692,4.467334628021188,6711.167267218071,-0.8225501835896095,-0.7746046944249919
,,0.7624029175917681,2.2806512352308084,Summer,5219.795645349611,58424.56188916567,4.392275849416841,6612.427076365479,0.2334718573630147,-0.5082611491644726
Retailer,1.0,0.6812532968820534,-0.46942886074867596,Autumn,4496.992584702162,27988.6272820434,5.805457356631082,4180.308237065954,0.48801542462320935,-0.2184381071877185
Distributor,0.0,-0.5782742795299219,-0.5666059387573358,Winter,7554.798235014988,56123.53350198733,2.6251647337706867,6822.039676231577,-0.2734373849771239,1.20812048022686
Retailer,0.0,0.7006005392837098,-1.4345930884126146,Winter,7516.618256793791,83846.4873609026,6.734952640100916,4956.192277626605,-1.6501867728316137,-0.5932913930685014
,,1.0587100982847872,0.06670062895052602,Summer,6642.512088611324,42646.651028423956,7.120604455414476,5764.082651161926,0.7751062222752858,0.714707664754763
Retailer,1.0,-1.1001473707209781,-0.42494626839827904,Summer,5113.63696595866,62786.82363893742,4.728936924448094,3856.891867849208,-1.7826065759327703,-0.930358557708427
Internet,2.0,-1.4725045623256576,1.2356306277629918,Autumn,6424.507858684121,52441.042832905565,5.0554118979078915,4975.897229548994,-0.12659131279236205,0.9605112343693564
Retailer,2.0,0.2379091504952282,1.434015621651106,Summer,8104.725584461928,38217.92100424331,6.406032020717927,5924.840339725639,-0.5717995525420138,0.10885071791336623
Retailer,0.0,0.5037038353949286,-0.5869619769004183,Autumn,4354.597858520753,63698.92513070405,5.524400603671318,6051.2597267765905,1.180529342769481,-1.0925083161387366
Retailer,1.0,2.2587971208627526,-0.014872053923919304,Winter,2856.871168505096,32217.73438704822,6.098487333614459,4557.080026991518,-1.5839456228762177,0.6942818404400638
Retailer,1.0,-1.1332240902822945,2.14041421149762,Summer,4376.849788272659,52045.05620511083,4.843390138679152,7765.089288762296,-0.9620032471319796,1.2192346650115524
Internet,0.0,0.19217165000410422,-0.9291342459849092,Summer,4742.893529357534,46000.67353057217,3.78898672737543,2137.238002950772,0.11414778830024287,-1.152295029675267
Retailer,2.0,0.8262696856118336,0.5741487896692742,Summer,5371.1699211103005,72283.28711034672,5.699422175089845,6170.264417530209,-1.0888764248686138,0.5255894620463806
Retailer,1.0,-0.19533131680939259,0.9721663057286586,Winter,3927.0098555438494,84568.62343877429,6.316359473973999,6494.249821948323,0.6504282796322957,-0.9597999592084887
