Marital Status,Age,Brand Royalty,Monthly Income,Subscription score,Gender
Divorced,57,89.10789600976238,6910.26320895763,90.65422317754437,Male
Married,65,39.98573541492617,3099.868761590711,32.74566062853965,Female
Divorced,60,17.52081157385753,3031.2978753148996,13.915321048702305,Male
Divorced,58,74.54726837436704,6215.20351332091,64.79906285705951,Male
Single,69,29.42517806061825,1824.4026396664212,28.68173495047352,Female
Divorced,56,12.435873928247055,3318.3504515326604,8.019813734825256,Female
Single,59,85.01861382002242,5229.626580595449,94.33029017803901,Female
Married,33,55.68255711717037,2508.553563937638,59.94085009946473,Male
Single,59,17.794566368363434,3275.9350222750886,42.101129886801296,Female
Divorced,62,20.56207832134436,1999.8213704279842,33.30776794400238,Female
Single,57,89.55065353109498,5810.274541540797,98.3470026007973,Female
Single,63,19.18772236748164,2303.4639047267738,17.16421560671053,Male
Single,58,91.12564298179856,6862.497920851707,112.6738240375743,Male
Married,60,2.8061583800257637,2470.1503416108208,-16.584855369105405,Male
Married,68,22.6645402456871,2877.356645532906,31.570249525511908,Male
Divorced,28,64.53625689063703,2853.1230710413734,64.96672623842767,Female
Divorced,61,82.29991423349476,5886.324248643213,86.14314263889653,Female
Married,28,58.63573140158947,2414.431990137352,58.208602442292715,Male
Divorced,29,46.04854921581568,3149.921064018125,40.126600666983165,Female
Divorced,69,28.804472659968276,3047.728247513058,27.49682834882445,Male
Divorced,28,51.84336425463144,3845.0901721310634,26.656660299687402,Male
Married,57,18.73226088916143,3928.848961010394,16.574401155788973,Female
Divorced,25,53.802093926846965,3136.173291204149,53.596838528003694,Female
Married,72,38.895611791153414,3663.896100532058,46.70328163920718,Female
Single,59,90.89462640079503,5923.350970805208,88.85399118598994,Male
Married,69,25.129014099742818,3999.4082642308863,38.62780341932902,Female
Single,62,13.239395532695127,2827.6891864217832,16.795818670866133,Male
Married,56,27.35232630095709,2705.5015547530033,22.994945808654723,Male
Married,60,79.0854820271744,5953.276903015563,88.63572410322139,Male
Single,68,35.53763706294112,2732.40056670624,44.57121808086847,Male
Single,57,7.184863341805283,2239.9630182989367,17.469141470913613,Male
Divorced,67,32.09134274231776,4165.300960298039,29.34031196330987,Male
Divorced,32,56.84074151216963,2492.487544101195,59.92599973691231,Female
Single,57,15.355165998862823,3051.2637778865223,24.688208969321735,Male
Married,54,79.28685641950314,6230.967745828342,78.59171903915292,Male
Married,60,86.61552496464324,6252.8991590277365,100.73486546551115,Male
Married,71,20.451571450253986,4139.509047649685,13.288472879395016,Male
Single,59,77.47595708286578,5398.8468585953715,74.32775570446186,Female
Single,57,18.5756044573913,3013.1458588394958,7.177372029327257,Female
Single,33,49.5475303809648,1943.7596095576928,48.98927861650513,Female
Single,53,84.1399097084878,7526.506506738836,86.7066228812477,Male
Divorced,56,20.844916007280887,1969.2384387907023,26.837041021082047,Female
Single,64,33.207566148473035,3940.2950262548616,28.95318190020972,Female
Divorced,26,57.67641691131338,2669.425787343186,64.08566620605225,Female
Single,29,61.86117149227545,1931.4201327572237,66.85338175150585,Male
Divorced,61,91.06552482286725,6658.537081490411,95.85518960396438,Male
Single,27,60.331818077001714,2432.81691665418,64.76258093410941,Female
Married,56,82.02102436233451,6061.278949895551,71.00829012294055,Female
Divorced,32,51.49728929951964,2626.657587749806,46.07283475248028,Female
Married,25,63.55112214427565,2569.6313070299598,63.36186989558508,Female
Divorced,26,59.78606950472884,3630.8828165246046,53.24784951762413,Male
Divorced,27,60.692509318262566,2659.6389223362985,46.4854496214591,Male
Divorced,71,30.14313012118201,4381.905679205669,37.55588671687794,Male
Divorced,29,58.45519165246148,3311.692667363279,55.308333851130634,Male
Divorced,58,9.693016570494322,2918.0849291556774,16.6555133377863,Female
Divorced,75,29.064038732212765,4031.894053748543,31.32123787894269,Male
Single,58,85.31771560096493,6457.15662958112,76.97061946953465,Male
Married,28,51.18994396787396,2353.1825958558434,49.288449904380265,Female
Single,75,33.42130489325356,3060.4716648075346,34.84347578387925,Female
Single,32,55.734591145568004,1806.3655163356088,50.20815777019827,Female
Divorced,74,34.213655570770726,3370.9925016271864,28.691483621909434,Male
Married,32,49.66484941408825,3653.3265448684033,24.94971470847431,Female
Married,56,89.8424136002562,5744.798659194661,92.65448890134789,Male
Married,57,75.83343843397085,6925.694221194079,85.4006924484608,Male
Divorced,73,25.776128689801382,3436.8436667606893,17.152566616810837,Male
Single,67,19.516888396017734,2833.328786959743,14.043891012209375,Male
Married,30,44.9420933915727,3558.361830984215,41.97178218080306,Male
Divorced,57,92.22217589358601,6298.48161695367,77.49538392649028,Male
Divorced,54,90.95350386624466,6930.922748648266,93.51514857871632,Male
Divorced,57,75.21468296243779,6762.874172255348,85.29411900272424,Female
Married,60,74.37249440268762,7065.885362934822,88.59456835926095,Female
Single,27,42.865373495184706,1735.1475149130247,49.318695103953075,Female
Divorced,49,25.853170257310772,2800.946183653503,24.857571581399707,Female
Divorced,29,60.11397070246921,3101.023393715687,77.79596681244325,Male
Divorced,55,83.81249551047893,7540.659296305376,94.02757499922176,Male
Married,59,19.052997674902258,2673.0776449442324,17.410064158086122,Male
Single,60,18.382689815537866,2716.4115333922578,9.98524926958548,Female
Single,61,84.45554191495869,7527.289085312433,77.08193146779239,Male
Married,29,59.34745290974789,2810.8509355304163,70.45490037884565,Female
Single,62,66.89990261046775,6310.732218410409,71.14166312378386,Male
Married,28,65.38232745478244,2822.358438931082,73.14951921141925,Male
Divorced,55,14.51314722932348,2904.625413939586,12.273137463346139,Male
Married,28,54.380862883078024,3220.8767744162997,50.04428610826085,Female
Divorced,54,74.05894043849517,7010.485208361263,60.781676031883904,Male
Single,62,30.793014486645525,3530.5466991534486,31.265350377149222,Male
Divorced,74,24.615531032258993,4043.732563896377,17.551335814169107,Male
Divorced,70,36.990342688025976,3250.971846396114,50.37174916055612,Female
Single,30,58.502918288183096,2108.230079561611,44.97978725026067,Male
Married,56,24.610792580760716,3223.601646762306,13.727044987320408,Male
Married,63,90.13401915999519,6737.20822629597,85.29512330522537,Male
Single,69,28.08188085859541,2377.4024386710553,21.10615810830909,Male
Single,58,78.9343599353897,5492.140504403677,75.27719252849465,Female
Single,69,24.320524600733606,4422.8200406671895,31.99925028968565,Female
Single,59,18.030502201382248,1992.2661456626165,10.563518547256788,Female
Married,61,27.173554739514195,1442.3926859860812,16.374850233131895,Female
Divorced,53,79.67942864772007,6897.358630031186,72.67577694502187,Male
Single,57,17.067347240259423,2576.0904867813306,24.079821298627117,Male
Married,71,30.134388298700998,3946.207290934562,24.566282613590587,Female
Married,33,57.7739087347361,1827.7683810221633,54.2059391322585,Male
Married,59,83.31445859600692,6195.225799222403,81.9025752424082,Male
Married,59,87.07193522128169,6790.98253521634,88.14293599055009,Female
Divorced,55,99.03512055323966,5596.921107434092,90.78525563123321,Female
Single,63,85.23884563964847,6621.423763519153,70.31797147721657,Male
Divorced,61,15.36611269703181,3610.726008619804,14.504315895043403,Female
Divorced,30,46.39843032129269,3146.1842420254093,45.09963580730998,Female
Single,75,37.838162150970184,4346.345719947938,20.88784119968672,Female
Single,57,85.6375881868541,6567.924997824989,74.8119168814314,Male
Married,51,26.013163459512597,3484.8769559625925,26.270401503657233,Female
Single,35,55.07597461314641,2585.491940439635,44.480650312350384,Female
Single,35,48.499624520627634,3308.3057846820357,43.23568243462894,Male
Single,71,25.409900632354812,3333.0047686569906,21.973501084113373,Male
Divorced,28,45.134584104780764,3569.726195840084,58.94769413362265,Male
Married,58,80.90668875235883,7481.801684874014,93.79261128361237,Male
Married,27,58.217654545071284,3892.7002100230757,62.86608055499851,Male
Married,58,10.535728745731703,1254.7543793311424,4.526410229517243,Female
Married,57,79.07339223762398,7302.460804623538,75.18199153754591,Female
Married,61,16.174297099070984,2761.3628026725273,10.068420040944115,Female
Single,62,75.99814449521219,6998.04700203054,60.03289299477025,Male
Single,59,11.610312037989608,2529.3031006459864,14.251738887131612,Male
Divorced,73,32.564354332331526,2817.415093574746,24.285380974816174,Male
Married,31,69.26207518815298,2864.463638504937,60.89771394224468,Female
Married,57,80.04258207194533,7567.338742351603,77.32921771239151,Female
Divorced,56,75.7897567832749,6155.676639309057,81.81919433854667,Female
Single,62,21.98133380773197,3263.180929900212,27.675554064864848,Male
Married,72,29.44494488373605,2435.7209240002912,15.469428252722748,Female
Divorced,73,41.379104251251874,3998.661830438789,33.58880561602694,Male
Divorced,34,54.102979191589675,3119.6760119535115,64.52448601606446,Female
Single,67,33.8155472295869,2764.4245079578204,17.160494600037595,Male
Single,61,20.993266110847195,3973.562021385748,14.602392403693097,Female
Divorced,73,20.469027504960437,3114.202522418175,32.626652189459236,Female
