Children age,Happiness level,Annual Income,Marital Status,Gender,Satisfaction
14,20.7071792481546,26461.082357676532,Single,Female,17.68748701599592
12,19.02255534178112,26950.169400056868,Married,Female,15.298379030444956
12,20.02175170467896,32826.47903026988,Single,Male,30.98453347369371
14,1.8218419556619114,58015.701522535586,Married,Male,11.567494287422072
13,18.372747340569354,28534.494720334114,Married,Male,14.586976697367305
13,31.335069474990497,26288.04430919081,Married,Female,16.746639621950735
12,27.274026680697798,28545.91538003526,Single,Male,23.78258443103958
6,21.014093998855145,63289.552683814974,Divorced,Male,15.579937680137732
14,6.407430893776349,27185.543907434723,Single,Female,15.274997147490524
7,8.149464059887984,62946.30731260167,Single,Female,18.53630260685229
13,2.8920434124771237,23684.639915463362,Single,Female,18.512028796824076
5,71.35648916788055,78642.38329699528,Married,Female,77.49134122997506
6,16.856330364815882,60908.385977310114,Single,Male,9.670840860068012
6,85.84737836903729,89145.93581938144,Divorced,Female,80.46960928394128
13,-0.2146665189843322,51171.49006512322,Single,Female,8.853233681504435
12,29.64679199841612,29089.327902082012,Divorced,Female,16.594556992790366
13,-10.008970815405789,50710.642817226086,Single,Male,3.690691116931937
7,16.894575008063963,59683.326824356336,Divorced,Female,11.027727452200779
13,22.961544661693686,22946.37098046852,Married,Female,31.32639720117699
6,79.37007117191918,86185.12671436314,Divorced,Female,76.34349922870098
12,23.515845223112155,28058.137252342192,Married,Male,14.606441357023677
7,30.724826773919354,66258.16476301306,Divorced,Female,26.550578338814844
12,11.882432258742174,51193.5463553913,Divorced,Male,19.853918917521753
5,29.673261415696707,64422.81024589556,Married,Female,12.884978438491196
6,-2.891814729102892,72102.14368548234,Single,Female,6.339107489421593
7,16.38020643019719,56813.46799022104,Divorced,Male,16.021776276462504
6,6.94475435642498,55012.14813386863,Single,Male,13.588807833696087
6,71.42130976348129,86892.93003250315,Divorced,Male,76.25953507337745
13,3.7063135319753346,29130.527517326864,Divorced,Female,13.825870744286924
12,19.06009056674691,27779.502415940475,Married,Male,21.06955534507062
12,-17.86812737517729,51394.120582425945,Married,Male,7.180576433513508
12,9.284654116832568,27492.985345407236,Married,Male,12.178286816535604
6,51.44775350458005,85589.00936412392,Single,Male,80.93752085415431
8,-2.776094334445098,59158.801937522,Single,Male,17.986375583434302
12,6.855711779651434,53787.68648600249,Married,Female,19.417004448418545
6,5.283432075290438,58270.34829635736,Married,Male,25.26566025256342
13,25.521251892639572,23357.359020711207,Single,Female,22.52818162880117
12,11.097661306736871,49154.17871778936,Married,Male,6.239135120473399
11,28.305156662222103,58554.24343889631,Married,Female,20.290874892058916
7,87.54471468152846,90160.72332645908,Single,Female,88.11842844344153
12,35.06411444975624,41527.653009374866,Married,Male,25.795187873682693
6,68.8564472737155,93941.27044931837,Divorced,Female,74.36971122530665
7,30.549515807326934,67053.48826546478,Married,Female,20.835968368553104
6,11.04517283470697,59048.37757183202,Married,Male,9.485300369095995
7,82.75961551082614,84504.03231510414,Married,Female,77.77698300068286
12,27.392721394824214,48893.71741414646,Married,Female,12.585210163535734
8,81.17170940396238,84878.44868649656,Divorced,Male,90.65833001036421
12,24.619289652836706,29590.212753698677,Married,Female,25.691671509664047
6,85.09967542230106,86528.12910937054,Married,Male,80.38668959197734
11,15.92329078660071,22466.315357059015,Divorced,Female,21.915672956056532
13,43.268836456712435,28641.043436766784,Divorced,Female,23.691304039183166
8,20.710090490685275,61134.6124261351,Divorced,Male,16.054105576426423
12,24.04879774326672,28156.032120947537,Single,Female,25.946242245124765
11,5.131020707951954,50138.701100270955,Married,Male,13.463397536816096
13,16.51510071002162,31423.74948877333,Single,Female,14.756955707676845
13,19.257397902029293,38507.43189135988,Married,Male,26.92344281289462
13,8.926736938233919,35398.3756028853,Married,Male,6.769377383189315
13,8.11268777878903,58767.302380546535,Married,Male,12.715773943594016
7,19.843338123042297,55358.17916765611,Single,Male,12.156212862888275
13,9.536471431026385,55871.61390993654,Married,Female,13.800045346851185
12,30.064615837719302,55589.988226745816,Divorced,Male,21.50749522131119
