Annual Income,Time spending score,Gender,Children age,Money spending score,Marital Status
42961.14163907048,25.357742087952197,Male,6,22.2060167347851,Divorced
34276.965004023994,72.6407769338445,Female,12,78.5012071948274,Married
77249.11416638007,44.69304640080979,Female,8,48.976303417741875,Divorced
30288.198235817697,18.40060233854604,Female,6,20.16693026758503,Divorced
38919.74999195158,68.67772760472857,Male,10,76.5438167742665,Married
74052.14180955137,52.04877871532288,Female,11,59.18904108626493,Married
83619.064393366,67.60986408844883,Female,8,65.07593953918807,Divorced
61207.331240568514,55.95269749674567,Male,14,51.900995752298485,Divorced
23184.130561788414,29.065485469412472,Female,5,19.976492197961175,Single
69720.07866019789,35.74607541271447,Female,11,48.59140060909625,Married
42153.565325517295,-2.181867501801225,Male,8,9.81227937779969,Single
53570.46920797813,85.80264698842758,Male,13,81.49087627796405,Single
90608.4819806588,64.71698275643358,Female,9,65.11505343587666,Divorced
32423.707227202955,35.696363156883876,Female,7,23.44831617770898,Single
67336.47257608685,54.44338813242594,Male,15,46.49889357566887,Married
45165.56338399229,50.144847324422166,Male,12,72.831531287735,Divorced
74857.52291403322,69.9573226046211,Male,12,66.12604808417088,Divorced
49218.37602656696,81.03676062164757,Male,11,82.40487980957181,Married
82847.38802977759,64.27048817332103,Male,7,64.84757405375234,Single
67488.9664752778,49.234196180445494,Female,13,59.07120002236805,Married
31284.749765644367,81.46397421575234,Female,11,87.04348289706985,Single
58909.63290493573,63.59560957067144,Male,13,61.070612283253034,Married
86991.31973039547,50.357425729565506,Male,9,64.22278095604126,Married
75622.64329866062,61.86218342579745,Male,9,58.850287522440304,Divorced
38784.71248457612,2.014121858225078,Female,6,16.70687520850357,Single
45813.70060742108,70.05604402986118,Male,12,83.26741448352432,Divorced
38579.74368283783,17.43065401571531,Female,6,6.97149613016515,Married
57072.88595927903,86.029189237123,Male,11,89.83851988958038,Married
36704.350730948674,85.34385642053321,Female,12,85.20539656986233,Divorced
56340.86379751672,64.71312750137189,Female,12,48.47030807310978,Married
85514.21933788,74.83347533039104,Male,8,64.63232990987805,Divorced
64400.28694399591,59.08293007350224,Male,13,53.18297960704001,Single
74188.05549256245,55.94501285556434,Female,10,65.37985417963021,Married
83965.79190312109,79.07267430278505,Female,8,72.59485329212558,Divorced
76816.6547702936,47.413606338883156,Male,7,61.21988061216395,Married
25632.133444671155,19.414192459052806,Female,7,14.753743356519628,Single
32677.094128590965,76.82797041930382,Male,12,78.44943507398854,Married
39747.270652552324,19.365799854489403,Male,7,9.024172856620332,Married
60327.490421228125,51.070923811366555,Female,12,50.95938443346935,Married
68288.07340483005,57.20976202342235,Male,13,51.528756077140926,Married
62190.442801489204,47.209191666556876,Female,12,56.865540189901985,Married
54428.104249668475,62.331571441602385,Male,11,60.60095724186253,Divorced
32665.617403717944,7.5374674543457765,Male,6,13.78806274178855,Divorced
94558.08306055078,80.3867035073738,Male,8,71.27037530313343,Divorced
49501.69778215687,91.71589488142278,Female,12,78.27513480516839,Married
66498.56458589822,54.416039131388146,Female,12,52.19033307216156,Divorced
59576.040460981545,62.65062497946971,Female,13,52.8794240069494,Single
33627.74380667598,11.079267935254881,Female,7,13.611280553577025,Divorced
43403.58787183666,77.72177168049384,Female,12,77.12605395063015,Single
48382.84268395438,8.264351071722395,Male,7,9.902355810451176,Divorced
46868.79473737567,76.04644612057672,Male,13,76.29417671492972,Single
21965.807534173036,18.17165513147983,Male,6,20.787083934637216,Married
26370.130881862235,92.19476338847953,Female,12,97.90781471564212,Married
44010.25661960889,73.37551751616243,Male,13,79.72097020794374,Single
72795.07166891989,61.88735522990158,Female,8,70.54675906944561,Single
70206.24639643672,53.202365944747086,Female,12,49.767411991796955,Divorced
34235.29590228631,61.90014453700386,Female,11,76.83172602245347,Married
29866.20202829293,19.349315129335764,Female,8,9.877115545121036,Single
40773.619738806716,38.42810088617964,Male,6,24.824660237938584,Single
85232.36626836057,75.39367571101917,Male,10,76.81438789709198,Married
30113.61029064546,17.47438601628224,Male,5,16.410096021061406,Married
80976.25562574217,60.06651811469549,Female,8,56.29530349803113,Single
51302.469090089,15.994576932606423,Male,6,17.692857350307193,Single
39090.05541922838,19.427119637623036,Female,6,15.215143057812199,Married
49855.38308391875,6.447631057210502,Male,6,5.412447269605366,Single
31982.829353096095,14.295927137107542,Male,7,14.69079188094306,Married
32026.840558313357,30.24285346383101,Male,6,27.654341548463826,Divorced
37855.06224917959,61.966685195421704,Female,11,79.30225974534076,Married
69533.73014695417,60.57367749092499,Male,9,56.28993791346949,Single
73031.52116443007,48.99768966902295,Male,9,66.50088722833645,Single
67274.52838147107,63.5474370913047,Male,8,57.38844845705627,Single
40776.81252305449,13.784467569441139,Male,6,10.879460518444716,Divorced
30488.16027504114,13.230619792756844,Male,7,15.896494415992755,Single
37550.304359389476,79.22115695910928,Male,11,82.6816120431507,Divorced
45005.004315966355,88.81937164402389,Male,11,75.53817737451035,Divorced
36486.751440278946,5.819207304764663,Female,6,13.077702073594331,Single
43037.63713381166,90.41482110061989,Female,11,81.34974379930429,Married
42849.163885871734,80.64704128257634,Male,11,89.7954304152831,Married
66337.87488785786,46.61084824279223,Female,13,52.161920586237706,Single
53365.0703455083,58.17119394401907,Male,12,60.31548586341333,Divorced
27353.842760280466,3.2307626085338867,Female,6,8.840738711955701,Divorced
76582.07790097393,62.940566494474226,Male,12,44.632751329237514,Married
30252.494141360534,8.182967535640264,Male,7,12.103155615298597,Married
82125.8835401968,66.64819784410403,Female,9,54.74767405396233,Divorced
70725.99157120132,77.26999093332574,Male,11,55.41113233060301,Divorced
36955.481751082174,3.548728156294274,Female,6,23.71437871311177,Single
42203.63350796687,32.12246439375029,Male,8,14.99484580003299,Single
38014.44317945826,55.128779810918296,Male,11,73.87091436338304,Single
66370.49040852641,62.66401985202288,Female,12,63.23047970842711,Single
74549.6027109811,62.70855346293554,Female,8,56.0349948237083,Single
40924.516908994265,75.98069678179756,Male,12,78.2042538867992,Married
65873.54450218476,75.26667953009994,Female,12,59.04233979425941,Married
38232.119054302384,60.31805879004371,Female,12,69.36221453262942,Married
32604.943423547345,3.9916996381332197,Male,5,14.931802238351523,Single
76723.54543204291,73.84103604681441,Male,8,74.30288965365392,Divorced
