Brand Royalty,Gender,Household Income,Subscription score,Children age,Marital Status
61.145783013685836,Female,164700.68866499615,76.48017545141637,10,Married
80.54721880451721,Male,134602.4595953103,100.92717746052337,12,Single
90.41993935146105,Female,65635.9222584997,86.63099197049345,6,Married
82.10036087593454,Male,161629.46457405906,70.25057163395121,13,Divorced
59.239326980528716,Female,61815.41626087104,53.443795155353,5,Married
54.84057395644888,Male,154065.0098584683,51.1462110028292,10,Single
66.72022428067211,Male,161076.8823820395,55.04584826768502,13,Single
58.28524104739938,Female,168495.50377869653,54.588275874956906,11,Divorced
83.93204579821759,Male,74012.25617704006,87.23860690716548,6,Divorced
93.27603013538635,Male,133017.4494860354,80.93616549352141,12,Single
58.48331654099226,Female,136227.76848661577,61.24617492240382,9,Married
71.337532490069,Female,168054.44131253968,72.00717725190728,14,Single
86.4923943132966,Male,75873.64118643981,81.698852407554,6,Divorced
72.13650870381231,Male,62002.73473969603,74.7348075875681,6,Divorced
20.24858056744182,Female,76997.19613802916,26.652687564055505,7,Married
33.65019898086094,Female,94357.52317452253,26.416542063985474,7,Divorced
82.11057697041942,Female,173535.169768063,96.17519987910637,13,Married
31.111992296025452,Male,91631.496787343,33.7744747300334,6,Single
56.506367146468165,Male,161849.86381456643,65.01139785511873,11,Single
72.26440615873072,Female,158513.7504650483,67.9081855987059,11,Single
82.39936871328483,Female,191761.7694136816,87.08632589750766,13,Divorced
71.13175009784034,Female,74964.3191564862,65.66019745774757,6,Single
69.83861927507257,Female,64054.965950870144,87.62189183926178,6,Divorced
78.991399878896,Female,169354.92508535951,86.52634806062404,13,Single
72.34814886314453,Male,60661.92911193504,73.02219075812445,6,Divorced
13.410161053501838,Male,92456.19953667246,9.880896451416664,7,Married
70.37024856960076,Female,154059.1474627212,64.25729305588023,10,Married
53.259267922557235,Male,145976.91243752412,51.48607888700134,10,Single
80.85164602352461,Female,77920.5935111229,80.06638060698528,5,Divorced
15.968676896052344,Female,94131.23854566469,25.61905525415428,7,Married
17.68279428856487,Male,89596.65617624612,21.390480228426473,6,Married
71.1976185209089,Male,142528.51373918622,87.57823101656604,10,Divorced
80.95467834531358,Female,77498.68871094799,89.47954607329459,6,Married
90.29159829474239,Male,165431.04225488735,92.0764740946783,13,Divorced
24.288269575651228,Female,84673.22682760321,16.15701778240317,6,Single
83.12717246379484,Male,132748.19932020866,81.32894736941616,11,Divorced
81.77492265664448,Female,78706.7661477871,91.44476358176065,6,Married
80.72349479168192,Male,159418.4710779108,75.09834875972112,11,Married
78.16087349988358,Male,200000.0,62.9998513035563,13,Single
83.03097513125368,Female,159077.55716976314,68.34115610293358,11,Divorced
1.8609980403963604,Male,58416.3798303579,2.128935997067646,6,Married
74.28489580963601,Male,62715.529922921,93.83924386731172,6,Divorced
76.57337328373941,Female,181324.41837587528,74.26785771909205,13,Divorced
84.16461699040876,Female,60351.369691974825,92.85673451240918,5,Divorced
80.97970373098045,Female,130170.6070095571,81.49986623503067,12,Divorced
56.53948630388279,Male,151847.96031515978,60.09924985957252,10,Single
55.14739749432007,Female,148522.52685655822,58.21769888829499,10,Divorced
80.94313793168078,Male,133896.0417049802,76.46144317171664,12,Married
48.72714639680841,Female,137460.9665758018,55.99422026222257,10,Single
14.53925880501911,Male,79793.02439249252,5.545525815330814,6,Married
80.46972139080471,Female,80498.43924946508,65.71069661844541,6,Single
86.29435331597523,Male,143321.48632234888,94.849029879196,12,Divorced
57.84837540675817,Female,171744.9859881284,62.580627705436825,11,Single
80.8924299570965,Female,59916.83171574074,68.68309420660356,6,Divorced
79.16785914215615,Female,74054.53968659442,80.51315776966351,5,Divorced
85.22805120542796,Female,143377.66369913577,90.76612527874306,12,Single
21.169926044188124,Female,95130.49813205138,40.19249055795319,6,Married
76.25511580709993,Male,171669.939187599,93.82941507845483,10,Single
9.722981229675852,Female,93422.17270491301,20.745257818232403,6,Married
89.4556206230449,Male,78939.98322784291,93.82874080527829,6,Married
