pricing_strategy,consumer_confidence,promotion_effectiveness,financial_circumstances,product_quality,distribution_channel,Sales,advertising_spend,demographic_factors,Season,brand_image
51785.812182033325,0.5094076797054292,-0.09324079042488645,-0.6050344294001238,7.047638310644297,Retailer,7483.416066609088,2941.1875815619187,0,Rainy,0.2935051722698349
39781.20438818884,0.2659595503872699,0.7259708952940297,0.7560642076295693,6.845794157292257,Retailer,7568.362371207802,4978.547892005957,1,Summer,1.186747343122624
56665.157032585135,-0.1335765763343946,-1.4908839212828655,-1.5923153689282,5.385597875828839,Retailer,6111.892134544394,7463.198282646892,0,Summer,-0.1598490081383635
44714.51364271107,-0.9042381035898402,-0.30922944502965793,-1.2357168402453438,3.738795721543589,Retailer,3300.1677273237274,6363.307051603983,0,Rainy,0.7967110257092309
78300.91484287626,0.5779820343221862,-0.23497609415747478,0.10063592948717362,4.54861921187438,Retailer,5296.088084981264,4986.827480883227,1,Rainy,0.6546181989832909
48909.072240099325,-0.9153241930910818,0.38888832096501125,0.3387268499124713,5.250866855640328,Retailer,5613.073478026806,4217.4295993462065,1,Rainy,-1.0257431176981944
85755.60440284818,1.953307931034803,-2.527367558140955,-0.7132625406681748,4.299524936834876,Retailer,6178.336942295106,6763.3183691721,1,Rainy,1.0030561964174998
58227.886771993966,1.4355534412069804,-0.9763632146465709,-0.3010057533528271,5.984079252219528,Internet,6826.086851286322,5859.193624983205,2,Summer,0.8023051024585949
60977.058500477986,-0.3524106351698701,-1.012765180408151,-0.7537512271756323,6.276925933449967,Retailer,4106.707248655105,3603.9698676181497,0,Rainy,-0.8680178223789827
53014.57111289492,-0.4529392401163827,-0.9395797919018731,0.8726916372280311,5.924530138782686,Distributor,6666.9032586908925,7670.818284018134,2,Summer,-0.22716561780507485
39148.16758422168,-1.6397670115886445,1.796725174828909,-0.6651127306074414,4.591802978577285,Retailer,3709.9116126812387,4354.007973432405,2,Rainy,-0.9041291031503184
65652.47245423,-0.5821362657614007,0.318303511999062,0.9882780147674413,3.188413637162019,Retailer,5057.921022293968,5252.903500083806,2,Rainy,1.0371694403765097
74269.81728618218,-0.5015025239469939,0.07560237958612567,-0.40589965312489307,7.153976630319736,Distributor,5396.854688719573,5985.788784542794,0,Summer,-0.9814102323498497
69681.7376102986,0.6469024211882254,-0.6958408207259918,2.633427412154372,3.016674553627814,Retailer,4384.148316148259,3520.860476416499,2,Summer,0.5741475279890713
65822.18664025335,-1.2141896881764769,0.23333557608058117,-0.24417386905343952,5.444696983628602,Distributor,5962.392035243989,5581.415028191437,0,Summer,0.45184049545445865
54837.25995246512,-0.5638646276025251,-0.4809459923156421,0.2640427374376585,3.4105701416138547,Retailer,4240.908129321928,6095.756557081892,1,Summer,-1.5967624885762808
76465.75466812857,0.4724128061999509,1.1753253040117662,-0.1627489646370936,4.557450366226054,Retailer,5440.569266910182,3758.3509693236165,0,Rainy,0.09244468923684634
67838.73458491144,0.22932268358174673,1.7175159946279293,-1.5387453781536802,5.664692935993188,Retailer,7080.359560397011,4861.934147654267,1,Summer,1.0488907137957675
55735.154604520496,-1.263616980524589,-0.6271628256776987,1.0672955929706245,5.743471977301339,Retailer,3617.3114665502444,7468.758744741797,0,Rainy,-0.41699147815016474
54836.46451791962,-0.6199164399439236,1.3205555700099592,-1.2764152382687541,3.5052482379667422,Retailer,4547.9372904527545,2288.7495379617476,0,Summer,-1.0281352925747078
51673.538232068786,1.528339489459311,2.0704720102127676,0.3467926710355999,4.907880618744185,Retailer,5255.186298009065,5273.173073737578,1,Rainy,-1.504561721873082
68251.27311526435,-0.9740546536218778,2.1936180051045873,-0.44487157469718935,3.7585972501426,Distributor,3716.264673249648,2234.0005722252017,2,Summer,-3.3450753634472408
63364.330633904225,-1.4173380193475502,0.31309846600316016,0.9101807368790839,6.596712037155273,Retailer,4494.73642683628,3814.5734398087625,0,Summer,-0.9109703068623256
49810.54949090932,-0.1318477041575569,1.1827018871628123,-0.24016766916468188,5.104934333031244,Retailer,5387.397577872836,6311.380451285066,2,Rainy,1.9360114658069718
60035.91515684081,-0.25679998507496166,-1.0964991705102107,-1.201967373305322,4.156787869842328,Internet,5397.068254695004,4115.012159835069,0,Rainy,-0.018255893701907146
66358.76637272157,0.3851286017811376,-0.24238237470029617,-0.4323973030689169,4.514421427717342,Retailer,5735.92466317938,5469.568519399533,2,Rainy,1.1733804370798686
67670.27229542586,0.8609183372560638,0.4260709952314858,-1.8990607961565238,6.01027731194216,Distributor,6682.776226698445,4874.74676263839,2,Summer,-0.7203277340286665
51730.80920945508,,0.07474233124839877,-0.19355581411985126,4.015592878231428,Retailer,3794.2983598677447,,2,Summer,0.11516565339054687
49932.22869928968,0.24512456264563318,0.2481980191166022,1.590380086579531,5.836339549754528,Retailer,6136.787559078656,5693.237659936638,1,Rainy,-1.7204421322778047
58127.91875585939,2.6324625071704086,0.3420144350455134,-2.106487114387227,3.506572272691483,Internet,6155.2259690988085,4459.883222776097,1,Rainy,-0.5083470338200446
67779.81115934388,1.0775263352665083,0.38681961910081086,-0.2000670824905593,5.864145301637131,Retailer,5104.1307221590505,1696.3859101635258,1,Rainy,-1.8729548031917191
63129.16022299028,-0.8650667209315348,-0.6841215591505753,-0.1143814356394032,4.691670656418702,Distributor,5760.970063096677,6729.118107648619,1,Summer,-0.9006225971245422
76286.48930629014,0.6231134506930279,-0.06370225024537991,-0.21287276090050267,5.536840166335047,Retailer,7307.19939733865,2413.5869005245436,0,Rainy,0.966113153437673
57908.96632322564,1.2329411898866152,-0.7680735163379528,-0.8230736164753023,4.197488980469852,Retailer,7445.512718733113,4935.404270236726,1,Summer,0.6561970217969157
59607.46229458163,0.15559674341023977,0.7259107977298106,1.3019151299613594,3.632538424876617,Internet,3201.141337904232,2499.923214753799,2,Summer,1.9349735058564088
63650.59814510117,0.22243326330998592,-0.04461323683629101,-0.9663525297148066,6.1873827544173565,Retailer,6204.643495336338,5023.915946737705,2,Summer,1.7185872024588484
63422.1262444071,-0.8361979339202856,-0.40470985883987864,0.1982857318221034,4.086464230499176,Retailer,3141.89661745947,2621.3625980444317,1,Rainy,0.11548498000197327
59287.060435181775,-0.6033175265289923,0.08073145568759699,-1.6902962348293866,5.03987791477427,Internet,5995.33724942737,5843.640073141252,0,Rainy,0.43794177614423335
