Hours Online,Months with Company,City,Years after high school graduation,Brand Loyalty,Annual Income,Gender,Location Code,Education Level,Marital Status,Renew
6.4456145325563305,67.0,Khon Kaen,37.0,-0.7594607258763336,62415.99598781031,F,Suburban,College,Single,Yes
6.388595521232514,81.0,Udon,36.0,,74618.60458193907,F,Urban,College,Married,
5.8722712500884,39.0,Udon,37.0,0.030571511893427605,68870.89189359339,M,Rural,Graduate School,Married,No
5.9791252501144765,,Udon,19.0,0.47439409349458006,52243.153817631865,F,Suburban,College,Married,No
4.874551803239209,49.0,Khon Kaen,43.0,0.4656156922661281,72053.47752209372,F,Suburban,High School,Divorced,Yes
3.0319768280829993,70.0,Khon Kaen,44.0,-0.8427304903812145,64562.143761713865,M,Rural,College,Married,No
4.058839197491842,42.0,Khon Kaen,40.0,-0.5843447354497173,61415.5535041185,M,Rural,College,Single,No
5.386973392561854,82.0,Udon,36.0,0.7131773093935161,85346.6029545448,F,Rural,College,Divorced,Yes
7.350336925778422,64.0,Mahasarakam,27.0,0.25391434696659154,65513.10536053111,M,Rural,Graduate School,Married,No
,23.0,Udon,28.0,0.4807329883959738,67717.32122689046,F,Urban,College,Single,No
5.642617510866641,43.0,Mahasarakam,23.0,-0.0038581591103451496,62260.14579465745,F,Suburban,College,Single,No
7.566331364019344,54.0,Udon,48.0,-0.3719346151783561,60768.06560190308,M,Urban,Graduate School,Single,Yes
6.34224288266436,66.0,Khon Kaen,25.0,0.7081935108262281,90533.02920411911,F,Urban,Graduate School,Divorced,Yes
8.145516367429778,108.0,Mahasarakam,30.0,0.4505609612830844,88243.12414384141,F,Urban,High School,Divorced,Yes
6.138461746640846,53.0,Mahasarakam,37.0,0.04112595678898917,72951.18042302191,M,Urban,High School,Married,Yes
6.531358741096439,71.0,Khon Kaen,22.0,-0.4694884940113876,72865.20690464888,M,Suburban,Graduate School,Single,Yes
6.317696210120803,77.0,Mahasarakam,29.0,0.09150867021231918,75904.6178615757,F,Suburban,High School,Married,No
5.495655197564146,63.0,Udon,34.0,0.15814952435352014,,M,Urban,Graduate School,Single,Yes
6.374757472330764,65.0,Mahasarakam,35.0,-0.4494416160208867,70664.55151042635,M,Suburban,High School,Divorced,Yes
6.5045432155516485,59.0,Khon Kaen,31.0,-0.31105531385811364,67180.09781834346,M,Suburban,Graduate School,Divorced,Yes
4.564489881248168,93.0,Mahasarakam,22.0,0.2573931281841746,87160.6540654916,M,Suburban,College,Single,Yes
5.247743772083109,72.0,Khon Kaen,52.0,0.4176588112258206,84659.7818028713,F,Urban,Graduate School,Married,Yes
6.9020263525321335,70.0,Khon Kaen,42.0,0.10156086371913176,83840.2031135665,F,Suburban,Graduate School,Divorced,No
6.147688113509983,80.0,Udon,22.0,0.06028332054871799,71460.94414821253,M,Rural,College,Divorced,Yes
5.2301793568639185,65.0,Udon,29.0,-0.12520502892051272,64561.67390574933,F,Urban,College,Divorced,Yes
6.291856536284456,48.0,Khon Kaen,35.0,-0.3203142723879716,55188.18456659253,M,Suburban,Graduate School,Divorced,Yes
7.032340324871738,42.0,Khon Kaen,26.0,0.26807556173206926,63922.72691427299,F,Rural,High School,,No
5.143583658153858,62.0,Mahasarakam,53.0,0.23549329182100298,74275.8279349531,F,Suburban,High School,Single,Yes
6.181798413059656,28.0,Udon,42.0,,59192.2513106821,F,Rural,Graduate School,Married,No
8.323917985982039,55.0,Udon,29.0,0.3850365780895544,73138.29124912483,M,Urban,High School,Single,
6.391635433405592,75.0,Khon Kaen,35.0,-0.27869519750072763,71123.3996665981,F,Urban,High School,Divorced,
4.88337035981164,98.0,Khon Kaen,38.0,0.40135325187884474,79959.03452760966,F,Urban,College,Divorced,Yes
,59.0,Mahasarakam,46.0,-0.8763071098101387,66869.87516318692,M,Suburban,Graduate School,Divorced,Yes
4.961508212476848,66.0,Mahasarakam,39.0,0.1989569397630616,78129.28054860636,M,Urban,High School,Married,Yes
4.308445749312948,46.0,Khon Kaen,25.0,0.8222287414024942,69701.95421972449,F,Urban,High School,Married,No
6.2426800566834135,56.0,Mahasarakam,42.0,-0.18048927280065286,78088.5925779253,F,Rural,College,Married,No
7.679836348568835,64.0,Udon,32.0,-0.19055577552868658,64041.365909505235,F,Rural,College,Married,No
4.545587481224853,47.0,Mahasarakam,18.0,0.193302558367082,68224.45271492902,F,Urban,High School,Single,
5.842211759826311,26.0,Khon Kaen,36.0,0.6625373718491095,80198.2974143202,M,Rural,College,Married,No
8.418941861598002,37.0,Udon,35.0,0.20628128934544876,68296.5736700766,F,Urban,Graduate School,Divorced,Yes
3.980437106143965,51.0,Mahasarakam,41.0,0.1230306838912123,70437.3003654058,M,Urban,Graduate School,Divorced,Yes
1.0,38.0,Udon,18.0,0.08200918646235333,45316.66387236105,F,Suburban,College,Married,No
5.802659055860943,71.0,Udon,26.0,0.07309049935664852,67554.44974502108,F,Urban,College,Divorced,Yes
4.777529976753316,46.0,Mahasarakam,19.0,0.939567054170376,57274.02185837863,M,Rural,High School,Married,No
5.712539739228201,63.0,Mahasarakam,22.0,-0.40140454445212737,62795.61778062117,F,Rural,High School,Divorced,Yes
6.074232484482438,43.0,Mahasarakam,30.0,-0.03682682086030625,63752.25230991203,M,Suburban,College,Single,Yes
4.349413541199391,41.0,Mahasarakam,32.0,-0.2682000968113378,53921.21432350664,M,Urban,College,Single,No
6.080914658137299,75.0,Khon Kaen,37.0,0.19332604789241092,69600.65918283239,F,Suburban,Graduate School,Single,Yes
7.774987058430746,55.0,Udon,21.0,-0.6067564032893282,66368.46492306035,F,Urban,High School,Single,Yes
6.975988750390578,103.0,Mahasarakam,22.0,-0.38421293316909527,71422.6470725942,M,Urban,High School,Divorced,Yes
2.9685715029529156,37.0,Udon,8.0,-0.10062840594194444,57970.84475492841,M,Urban,College,Divorced,Yes
5.4483501597658535,15.0,Khon Kaen,33.0,-0.017889716627059293,37629.87381625599,F,Suburban,High School,Married,No
6.094273383075369,66.0,Khon Kaen,36.0,0.10259714532222541,64732.54208031307,M,Urban,Graduate School,Divorced,Yes
7.703776101730973,72.0,Khon Kaen,34.0,0.09391171757108091,72452.28008014862,M,Urban,High School,Married,Yes
6.897218236284127,22.0,Udon,33.0,-0.4265476436665113,60636.392320183666,F,Suburban,College,Married,No
5.190502443466397,29.0,Udon,40.0,0.30139879542521286,42828.87697820787,M,Rural,Graduate School,Married,No
5.005456200432101,35.0,Khon Kaen,40.0,0.8796835907456708,70297.82047360725,F,Rural,Graduate School,Married,No
5.112980220442788,46.0,Mahasarakam,28.0,0.11550931435588035,66451.36297436092,M,Urban,High School,Single,Yes
5.935021235939207,9.0,Khon Kaen,28.0,1.0198471322580338,54127.409336779936,F,Suburban,,Divorced,No
5.8963104559790995,40.0,Udon,28.0,-0.2714268760219096,61200.20432305664,F,Urban,College,Single,Yes
7.3766725465699325,61.0,Udon,36.0,0.5231452302350897,84479.33641006266,F,Rural,Graduate School,Single,Yes
5.394875120041855,33.0,Udon,25.0,0.6890225153158429,68444.01053008279,F,Rural,Graduate School,Divorced,No
6.722702211333439,37.0,Udon,28.0,-0.6617425944050453,38528.964093750925,M,Rural,Graduate School,Married,No
