Brand Loyalty,Annual Income,Renew,Years with Company,Location Code,Education Level,Online Activity,Age,Sex,Marital Status,City
0.9211184134988526,90906.23170624502,No,5.0,Suburban,College,4.587740429994288,47.0,M,Married,Osaka
0.7027059135889135,56945.500228978235,No,6.0,,,3.930696790438093,47.0,F,Married,Tokyo
0.02446986671057977,45275.33887949792,Yes,4.0,Suburban,College,3.001436720240216,54.0,F,Divorced,Osaka
0.02662847819602049,49561.76925697924,Yes,4.0,Urban,College,3.6340319565819916,57.0,M,Single,Osaka
0.6386807749018594,49450.545794885096,No,5.0,Rural,College,6.241454081128618,51.0,F,Divorced,Kyoto
0.4408088721897031,54918.32875586205,Yes,3.0,Urban,College,4.240816046202083,63.0,F,Divorced,Osaka
0.10615744922741338,44149.66929145313,Yes,5.0,Urban,High School,4.194685436419068,37.0,M,Married,Kyoto
-0.26748978396077777,65009.181288694,Yes,4.0,Urban,Graduate School,6.045121806979003,47.0,F,Divorced,Tokyo
0.48712185222615917,64608.212559917556,No,6.0,Rural,Graduate School,6.169911908088985,42.0,F,Married,Tokyo
-0.14774049851919915,43603.8036304037,Yes,6.0,Suburban,College,5.215918651602549,44.0,M,Married,Tokyo
-0.3045211205298727,41817.87916418606,Yes,5.0,Urban,High School,4.092047706381319,52.0,M,Single,Tokyo
-0.9000248725340881,36290.910173899145,Yes,8.0,Urban,Graduate School,7.1130724972675905,27.0,F,Married,Kyoto
0.37071139098102573,68184.57657905192,No,5.0,Urban,High School,7.434952113726929,43.0,F,Married,Osaka
-0.06570041729503268,44329.465447412294,Yes,7.0,Urban,High School,5.315346741163003,48.0,F,Divorced,Osaka
0.45218311813374706,63618.748390326655,No,6.0,Rural,High School,5.909850722234079,53.0,F,Married,Osaka
-0.11684388397926171,32436.37917804429,Yes,8.0,Urban,High School,4.389242418400111,61.0,M,Divorced,Kyoto
-0.14327720613998826,60120.82031831311,Yes,5.0,Urban,College,4.794541766226845,54.0,M,Single,Tokyo
0.39534547475414644,68031.01713904444,No,6.0,Rural,College,6.495676023417929,42.0,F,Married,Tokyo
-0.19283558005284962,61211.37740745625,No,7.0,Suburban,High School,5.6403321265416695,30.0,M,Divorced,Tokyo
-0.4589293299805112,40205.48651429829,Yes,6.0,Urban,College,5.5616689275474505,55.0,,Single,Osaka
0.6729066086421845,66321.88687473405,No,5.0,Rural,Graduate School,7.158212880106553,49.0,F,Married,Tokyo
-0.5416303534576128,52361.12653359272,Yes,5.0,Urban,High School,5.848047874998384,64.0,M,Divorced,Kyoto
0.1311424700911548,64354.64554539945,No,6.0,Rural,College,5.924653127664405,51.0,M,Married,Tokyo
0.3433339244083016,44437.34666367366,Yes,5.0,Urban,High School,,38.0,F,Divorced,Osaka
-0.6762897771351102,,Yes,3.0,Urban,College,3.2824067925113165,35.0,M,Divorced,Kyoto
0.4917857979319622,69624.22067204167,No,6.0,Rural,College,5.538016540991656,57.0,F,,Kyoto
0.1771622856739945,45946.487409912676,Yes,3.0,Urban,College,1.5625729144899365,34.0,F,Single,Osaka
1.2133705896112534,89197.24379455231,No,4.0,Suburban,Graduate School,6.773517153240241,45.0,F,Married,Osaka
-0.08321797006955059,56768.8859945805,Yes,3.0,Rural,College,3.915945446978677,55.0,F,Divorced,Osaka
-0.00609017373648851,64347.20541757507,Yes,4.0,Urban,Graduate School,3.4054556037239436,60.0,F,Divorced,Osaka
-0.16865930562643855,51971.659111160625,Yes,5.0,Urban,High School,3.9102103024406634,51.0,M,Divorced,Osaka
-0.26282000628949,49906.990963875505,Yes,3.0,Rural,High School,4.093290343212454,48.0,F,Single,Tokyo
0.9374628539000037,77929.43095431762,No,5.0,Rural,High School,5.158527607731033,42.0,F,Divorced,Osaka
0.12006069849314054,51765.95169196121,Yes,7.0,Urban,Graduate School,5.1541227721300595,63.0,F,Divorced,Tokyo
-0.17417635014555177,53316.15687074855,No,7.0,Suburban,High School,3.798218171883761,39.0,F,Single,Osaka
