pricing_strategy,financial_circumstances,Season,population_variables,sales_channel,consumer_confidence,Sales,brand_image,promotion_effectiveness,advertising_spend,product_quality
63491.09703182135,1.2443731765363204,Rainy,1,,1.5636884367830914,5605.453334706291,-1.3209750130211637,,4955.603663939051,6.610041848862278
61492.15540912246,0.6886551951910532,Summer,2,Web,-2.2024510411376865,3042.0008832984745,-0.6374031936309974,-1.310333048995181,6260.075518422533,3.133812740001243
82400.95573513082,1.8778353088815631,Rainy,1,Call center,-0.8031069339016542,5581.742390353048,-0.107956386621991,-1.0963353365650743,4319.799663243562,6.214402605922725
51329.62840070775,-0.5156112045132876,Rainy,2,Call center,0.35393774937194794,3709.171271332354,-0.9928169697258619,-1.6066517303374641,4001.6919848445714,6.469066541581365
69909.7158493805,-0.30130846841891495,Rainy,2,Call center,1.1503679682204273,6164.073320692599,-0.8267581062586307,0.06621865284236746,4396.60160809055,6.031097452841562
44936.04661028732,1.2970377957583146,Rainy,0,Call center,0.5116533109468981,5725.960175833599,0.3659311988437593,0.33226331410631127,4356.979618938677,2.9144984409180648
53246.309078458675,2.0819142301441738,Summer,0,Call center,0.46090208789517934,6030.699521304539,0.7330752454874426,-0.3285428562585692,4952.274719083126,4.937262444146469
61997.384581095575,-0.9275401388610754,Rainy,0,Call center,0.684960348061981,5412.602285792216,-0.6230010038931212,-0.6689653374903548,9829.657036124718,7.460013833666732
55979.65776488767,0.10310717837569286,Summer,2,Call center,-0.07108427541738467,4368.607616200162,-0.31970513407942486,-1.2618441502492066,6740.074358801659,3.4380701469383554
57744.58766579623,1.1515736025853063,Summer,1,Call center,1.2921252256338072,6769.9255030755485,0.8661567393622095,-0.6651196311305284,2219.444595545034,6.733817527598159
53904.255745700066,-1.1688753053548309,Rainy,1,Call center,0.20024886582322188,6019.666672314657,1.0586623658645171,-0.5093886006495205,4102.211494809097,4.250045239768484
77139.02883678913,-1.5179821893205188,Summer,0,Call center,-0.22514247334179044,7824.345580079804,0.7102273610275479,1.4512614058579516,7333.831251057129,4.529537616214363
58598.764283683544,0.8372529821929593,Summer,2,Call center,-0.9098844727555484,5862.49901484921,1.0799510931725538,-0.19374292969670512,4950.439461551904,4.578218464110219
43690.05894891976,0.7792762116398759,Summer,0,Call center,0.9838553731034978,5969.033576904457,-0.24110052876643148,1.0240409862818558,7093.909785121685,6.929466034154715
43224.141509316774,-0.30546237509191393,Summer,2,Agent,0.08434889821755219,3673.2446049052587,-1.144980196840238,-0.38924037740300915,3505.3395710138752,5.07172227490771
39440.238681054754,1.2783557154515608,Summer,0,Call center,2.804991525087432,8354.288245589927,1.172198770613376,1.2276672759833909,4427.832122453132,7.716361521418142
58710.90950400378,0.1451693467412005,Summer,0,Call center,-0.6241569205715742,5356.496031779687,-0.0881666673198169,0.3966839241389068,6126.984428830515,4.5787439252537325
44662.658987166775,0.018116833600336293,Summer,2,Call center,-1.1786640596836697,5638.452752021237,2.444352866305689,-1.1042440760725338,6912.982947598349,5.102954668159242
65339.78160632169,0.1344513499791393,Summer,0,Call center,-1.788240689861167,3933.050445310124,-2.0493196674377145,1.2078224143047942,6930.98014681016,8.308489775199934
54573.72319499816,0.599211280811553,Summer,0,Call center,-0.2758736615085956,5542.694333374285,0.018176250818891772,0.4606310363063952,5780.882920799676,5.082198923509236
68600.31907688978,-0.13568353233340316,Summer,0,Call center,-1.0752237433483507,5123.772490299097,-0.17551579816679114,-0.25488099556993377,7016.556809740455,4.151817599229721
59582.92076627726,-0.47476188080723575,Rainy,0,Call center,-0.26397479306045696,6062.702160052454,1.6214851371965573,-1.2978764555468645,8498.390483340158,5.9545236256318725
33761.42229111254,1.5799415729372857,Rainy,1,,-1.503703029042325,2044.8323000779897,-1.1254052878106755,,6999.527195866473,4.352359366669688
55014.11445650184,-1.1414899358284307,Summer,1,Call center,-1.5111976346521472,3533.5354822606237,-0.8539361130617115,-0.7666578270602906,7097.360289695706,7.764535768350354
63040.990236198355,-0.8338473235674009,Rainy,0,Web,-0.8544874414815166,5560.076556096989,0.8430742530531624,-0.7656634762293454,4942.9338234539955,6.586477997558343
