advertising_spend,distribution_channel,economic_conditions,brand_image,Season,pricing_strategy,consumer_confidence,Sales,product_quality,population_variables,promotion_effectiveness
8617.466346452737,Retailer,2.170225036519959,0.02690160861731763,Autumn,54041.278711883424,0.8326260904760163,6372.860670115997,7.059863635129702,0,-0.4927009676467336
4756.252323173242,Retailer,-0.8194610466945219,-0.9440170349006473,Spring,56375.52004988647,-0.24343642998375734,3576.4475865495906,3.4733329788242204,1,-0.41227224280143193
5274.650350454145,Distributor,-1.0946618883384074,0.4886985992397209,Winter,59345.98815696564,0.6411710306769826,6435.786448610224,3.7497829862708696,2,-1.0783158498070184
4859.652795567508,Retailer,0.12009078317751076,0.35560384103755865,Winter,57321.21973469999,0.3719996990422588,5804.991121672367,4.119401654017871,2,0.9933409817252438
6762.446825492331,Retailer,0.4189247882193905,-1.1944226592423195,Winter,58037.9439935178,-0.2416073606661423,5725.499464094753,6.070720338712942,2,1.6174186958043089
5731.3684526738625,Distributor,-0.923889170782058,-0.5864170877867513,Spring,37704.16875741693,-0.8849188784582372,3986.852853821684,3.735638187305613,2,-0.47457135381209237
4234.179883256278,Retailer,-0.3686540694406762,-0.4885087703949716,Autumn,46056.65925163239,1.112858200224847,5637.252871992535,5.766168770528173,2,-1.2787530230788107
7549.993382675175,Retailer,0.3995437972765419,,,78252.78892222773,-1.5651017089661052,3984.617886450463,6.26938876314815,0,-0.4880505797702729
8581.927636961955,Retailer,-0.36823496613530987,0.3284615528529225,Autumn,75992.57929061382,-0.43773176312997386,6692.149215610567,5.70363365697433,2,0.021346080189317912
2478.437469807328,Internet,-0.036122146331769335,0.8501263053291168,Summer,68330.98281826256,-1.0729924151541592,4543.7517213144765,6.059822253563361,2,-0.6771533830820504
6809.036824490993,Retailer,-0.12091850162718878,,,34890.13195464684,0.05206204927838777,4942.177164065058,7.306875559342097,2,-1.2362293523930565
5103.968671032565,Distributor,0.8268907914894357,-2.3007136263241277,Autumn,45002.79788251902,1.3387647319563578,4269.421408899963,3.8586321246014093,0,-0.6013913900433251
5387.843276464521,Retailer,1.2101138341883264,0.7212846198314223,Summer,28727.591631257874,0.9089313734362774,4292.771660120567,4.853538369233711,0,-0.680270817062304
