Monthly Income,Gender,Money spending score,Marital Status,Children age,Time spending score
5443.842967217538,Male,83.11762735987061,Single,6,66.42601182361392
6900.182992146718,Male,25.28627040622561,Married,14,2.63386456950278
6880.669712039014,Female,13.738165222838141,Divorced,12,15.161498346361197
6122.946810237019,Female,87.15617701254239,Married,12,91.83857534981277
4848.3996479073385,Male,34.32849405281408,Divorced,12,31.390605363473934
4778.871922527767,Male,86.4648793495077,Single,8,86.45594885248858
3802.746149551752,Male,32.20175289655321,Single,6,43.862279722481674
4860.754091858987,Male,39.488247299752395,Divorced,12,34.289735603156615
7747.86164080175,Female,78.87671776923614,Divorced,11,58.70958536045072
6936.5972895153855,Male,81.57124849732284,Married,11,64.45735350959492
6139.4343767447945,Male,20.09147869256109,Divorced,12,22.373398881252044
4599.168343738844,Female,33.222562371637906,Married,12,34.33248288931526
7893.012508019792,Male,26.075597862217265,Single,11,29.099258978089004
2955.4186055409064,Female,25.23939990088879,Divorced,7,40.1471666701223
2927.263339074501,Male,15.81716937221556,Married,6,17.314429167935536
5024.545178236968,Female,80.80381644321383,Married,6,71.08146115246193
6924.3817575453995,Female,100.0,Single,11,102.0534225097229
5578.151819021416,Female,7.190122619081009,Divorced,13,3.5890833057337734
2828.2402158994187,Female,28.55224482463906,Married,6,45.02182663669227
3504.464582688407,Male,22.954495792258477,Married,6,20.556354700302013
2581.514704501827,Male,23.23699418779239,Married,6,24.395812749653672
4343.966291099358,Male,32.947028421181905,Single,12,57.99934284034893
7058.998593837739,Female,85.14228424668033,Divorced,10,88.3651467357984
6723.68229981817,Female,3.780564755972577,Divorced,12,3.688789558486061
2745.1196014005413,Male,31.090690028191418,Divorced,7,21.667863581041463
7158.199943480682,Female,7.438593743703528,Divorced,12,2.808701231813229
4780.946858792504,Female,30.099345381621763,Married,13,21.67331361418692
7212.732524231226,Female,14.594011784875399,Married,13,3.616463806198709
5404.315591993439,Male,25.184123247721516,Divorced,12,12.636120881600974
7359.872317135653,Female,12.218102319157154,Married,12,15.793889864743463
3153.165494171355,Female,30.79371042275888,Married,7,33.41324561099121
4918.02335831651,Male,36.67395706370268,Married,12,28.871124381546384
2930.8204490125254,Male,23.13128722402773,Divorced,5,48.259036835237666
4258.504106666152,Male,32.8125516510214,Divorced,11,22.262760891446575
6820.934572464279,Male,78.08163362728293,Married,11,75.77897692014926
3535.6326089927197,Male,15.396385688902193,Divorced,6,29.364610229695185
6961.285499525282,Female,81.35702675399659,Married,11,93.5701187596839
4876.0266263688145,Male,85.13809474833374,Married,7,89.1301464418171
4720.60947061825,Male,36.378297731878746,Divorced,12,27.30218110253312
5578.463495408156,Female,36.713860378581344,Divorced,13,43.21932454388323
6992.526098536385,Female,18.084606494496306,Divorced,13,10.711819111850819
6404.637446734993,Male,79.1971163005866,Married,10,81.0472245412044
5828.216805904176,Male,35.23014244867905,Single,11,36.76611537300298
6294.451392719558,Male,81.68542679351671,Divorced,11,99.15352340214287
4493.4336424443,Male,39.60071907267344,Single,12,31.605462137775508
5022.430848749036,Female,82.86985329496315,Divorced,6,77.20434624915261
4735.16024463786,Female,37.357260550830404,Divorced,13,27.34864327691004
5695.469121242368,Male,33.90293714801186,Single,11,20.718020054452417
3504.7209213384617,Female,34.00137116667392,Divorced,12,19.143393335906303
5777.157132704774,Female,81.34057747736897,Divorced,8,89.53682711096126
2765.5462282757794,Male,20.784342379214593,Divorced,6,19.562149605451875
2474.1794593016302,Male,18.492502129107883,Divorced,6,10.907574091845284
7224.698144137365,Male,11.229341456986013,Divorced,12,7.413389837103837
6701.996072541906,Female,19.646039535193232,Single,12,22.72641436082054
5258.932884509529,Male,39.060532790431495,Single,12,29.88966384898957
