Gender,Age,Monthly Income,Subscription score,Marital Status,Brand Royalty
Male,33,6405.596662322247,37.21126636607552,Married,24.964549615507046
Female,58,2440.0233603273173,-1.5901140248036967,Divorced,10.372454206986482
Male,40,2031.0602038142756,81.04626205147567,Divorced,80.11329044388305
Male,27,5357.971965780146,24.496048381753642,Divorced,23.56349629168611
Male,69,3295.853236387358,46.63636132829413,Divorced,62.664717551336395
Male,60,7531.354262688807,21.19094439540901,Divorced,23.602273826895473
Male,27,4541.687678994968,88.25685797539987,Divorced,83.88644842489254
Male,61,7132.5974959889845,3.462735339953422,Single,28.766222165235817
Male,58,2859.4928174158345,32.10679751206203,Single,15.263097058236426
Male,29,4687.218811304643,87.326556014937,Divorced,87.45927383664704
Female,33,5822.868857686954,53.102727552664284,Married,39.957273693920285
Female,62,2891.6130499871833,3.464362009730669,Single,13.70942299260303
Female,59,7034.126947962006,25.0749451004988,Married,27.796229726913044
Male,33,4271.36091081463,66.50112728222064,Married,87.07409331161486
Female,33,5366.33862691116,19.61649589759995,Married,22.647038604445346
Male,27,4938.666959559059,94.72339618392081,Married,96.2398023073265
Male,58,7184.623761981116,15.897911211853902,Married,19.534336278505485
Male,28,4532.482218225966,100.73137912302747,Divorced,90.29526433327044
Female,52,2695.376807659849,32.02643632809358,Divorced,29.534533510971325
Male,31,5544.985037642744,16.625538814623482,Single,23.373015374268924
Male,71,3926.902916579643,44.93556934072305,Single,63.87804485243882
Male,51,2439.429754219991,74.39924098795558,Married,80.42038667061065
Female,48,2195.490197717754,96.79028888324538,Single,84.47127184454087
Female,70,3417.8188020842126,88.85254088436106,Divorced,75.51618833668945
Female,38,4474.747872308593,65.98616653930219,Married,85.08706117532114
Male,55,7115.369740891807,31.813945291068023,Divorced,28.975878464807913
Male,32,5547.5647614329555,45.10192945850816,Divorced,36.82757817947852
Male,61,7383.958220825435,17.77862200410432,Married,20.488502854237225
Male,33,6266.047980920421,19.785329708279495,Divorced,20.26480301903861
Female,65,6904.523394749173,28.07000028925001,Divorced,21.272952203959342
Female,72,3508.5240387886074,64.66090674795355,Single,63.739255571534876
Female,61,2769.1208490564236,7.669497399456801,Divorced,7.9914877599952305
Male,59,7240.875447543874,28.657575609882308,Divorced,22.729002089775022
Female,57,2958.8454509757466,7.491020701816135,Married,16.987278518278792
Female,43,2480.5430484271214,80.51726399139159,Single,74.81764536616284
Male,68,3807.486460445534,59.48608423128647,Single,73.62773604210659
Female,64,7218.733664829544,24.516785111578937,Single,25.50706681934789
Male,55,2414.8255686809653,10.224845869537399,Divorced,9.083359778765733
Male,56,2327.918771342877,13.970005701461375,Divorced,19.515995746542792
Male,32,5675.129635139645,15.537217519138668,Divorced,17.268372220582222
