Annual Income,Money spending score,Marital Status,Time spending score,Gender,Age
38350.86861470435,78.15083723068662,Divorced,53.68318199763664,Male,50
87411.7327786509,39.47727578498467,Married,38.45917798843471,Male,65
79902.14163547778,37.71237608403184,Divorced,18.91214623934405,Female,61
89564.43885172295,45.14971379779264,Married,42.51868748915898,Male,60
81247.96167677146,38.89494085156665,Married,21.79681930171744,Female,63
54476.55650605083,23.817360682826532,Divorced,17.831200197077624,Male,22
23429.69999631544,77.46418325789406,Married,75.68106340046278,Female,69
34567.9616943719,80.11351071899335,Divorced,65.07676101913461,Male,70
42349.728279808936,19.50872120539495,Divorced,4.993082142022848,Male,68
88376.51934700397,44.13634000787298,Divorced,31.24646555014676,Male,58
59946.06209409051,26.129910188329575,Divorced,36.99469786912406,Male,26
84511.8792905218,40.24042848339486,Divorced,39.87928197509344,Male,60
100000.0,42.00564551872048,Married,30.225582399763095,Female,61
33060.361261049846,76.53235157438557,Married,67.88455954153186,Female,41
36413.78456902235,77.43977806009812,Single,78.70939396795798,Male,50
26561.718718893007,82.64836197173048,Divorced,77.18639042579815,Male,48
46488.46144091862,22.298879420686923,Married,32.90734675417618,Female,70
92393.05511829964,81.85619199130116,Divorced,86.3702280948794,Male,34
24705.034928342568,74.41473638734294,Married,81.01971407657233,Female,74
92438.26431241666,81.86344137582105,Married,88.61520600081984,Male,33
26005.05635421341,86.93983706806304,Divorced,95.40496407834314,Male,71
86698.64090446307,32.98295525056284,Divorced,38.355339582713576,Male,61
87098.27002282039,84.9729654269409,Married,80.51509370950976,Male,33
20064.90379367156,81.62225868580487,Divorced,70.82270204705576,Male,72
53994.5778675505,27.95486165576211,Single,30.016961233561513,Female,25
43203.12188865289,19.936813221935726,Divorced,18.470837917054794,Male,68
34186.737944975874,79.47467329192662,Married,68.81113725819401,Male,44
38668.7306902299,75.1720577595905,Single,91.8907257974419,Male,45
60637.93668044436,21.433638044162716,Single,8.653770882649837,Female,33
82850.1542501844,90.95509471146113,Divorced,105.66681966331984,Male,36
92612.55841696731,85.36226049729648,Divorced,87.6073932305727,Female,34
93799.67137401705,82.3292991430331,Divorced,83.22294440957535,Male,39
35677.611914711466,75.25493590491463,Married,78.17625732783594,Female,48
50998.05298884958,18.577303925700345,Divorced,20.839901700878464,Male,26
31860.334685661528,75.8966745549391,Divorced,74.35436079171659,Male,44
47979.24092630696,15.596559432452938,Single,24.76048353341617,Male,69
43511.835542085304,22.4778979284387,Married,4.10937682488073,Male,66
91315.7420294807,45.73511865496115,Married,43.716972532938826,Male,63
83185.01537982088,42.95086930005624,Single,55.49298462844771,Female,64
92655.58235312687,77.56702863347033,Divorced,67.69457489644238,Female,36
32433.108498249294,73.6450434555004,Divorced,84.74908804985279,Male,45
28756.713966508145,71.79450552096438,Divorced,64.4736300350406,Female,48
39288.207368201445,17.123142734951266,Single,16.141557443669015,Female,69
23315.937435272346,76.13533667381921,Single,80.71939966743855,Female,69
40651.79628640821,14.694373084878833,Divorced,19.161565674545706,Female,65
82134.8411625311,50.76516821597738,Divorced,52.729582475863324,Female,57
52064.6297665021,31.657996915117245,Single,26.268136938322005,Male,30
87070.68833013618,43.95746150899282,Single,34.660002071355805,Female,59
80469.46827060875,83.52780828605262,Single,80.87799967461478,Male,32
39532.51063222199,16.336101493561117,Single,3.432438172634882,Female,64
41464.19907624815,12.595395846728852,Single,0.6295126543072413,Male,67
23865.203061533866,75.14447757397899,Married,63.49829237126597,Male,72
43527.46707943907,76.43247680673005,Single,72.30526811122698,Male,44
84664.81468076304,37.81980800787269,Single,25.397035849356463,Female,59
90005.54225892815,82.20496127726189,Married,92.45767321074796,Male,37
21798.458038185512,81.86240039358373,Divorced,78.51733377379152,Female,68
41393.26418073544,23.33846253368799,Married,21.7008789590178,Female,66
88135.8924777749,45.35408008771401,Divorced,60.85688265911638,Male,60
24294.837168461414,84.1884786599784,Single,88.9975611075135,Female,71
55204.87904626167,31.274127667467077,Married,36.486297257726974,Female,25
84389.71290139551,49.89117730886566,Divorced,54.790763291614475,Female,62
21445.11434744203,85.90331174991715,Married,75.76979839445768,Male,71
84873.25161691877,89.77286952574235,Divorced,81.74320836771511,Male,32
35039.63882062402,14.787983469579526,Married,-3.42909694081791,Female,66
55691.843705860294,17.53797304638341,Divorced,11.956073708766144,Male,28
34142.270641501294,79.53315805508083,Divorced,69.82443344462419,Female,47
85749.88922966158,44.2077669645205,Married,34.648793651890166,Female,61
85198.41999373736,76.62360531561333,Divorced,91.78527235001353,Female,33
36233.314196442996,83.84706472791677,Single,96.83132315913561,Male,50
53659.65934340657,18.400965228565337,Married,18.34112998745323,Male,34
46894.29532335573,17.503558671624337,Single,33.69803926435125,Female,65
51936.94840692005,8.07857715792245,Single,0.1814807225182964,Female,29
90692.18404281474,83.83837966764867,Married,71.89507386140644,Male,36
82809.0616170041,40.40049442352926,Divorced,22.516842175428174,Female,57
48125.35964699603,7.383619315819416,Single,13.27867484319356,Male,71
41416.33427446504,21.875847427913047,Married,24.756667378046618,Female,65
50046.749713982186,18.427025118486355,Single,23.41396333765092,Female,69
34182.67832300947,83.02630842623455,Single,84.05818866888934,Male,74
26464.23831238492,73.3187176570928,Single,75.12479876207517,Female,70
46014.4465562665,28.524946332029053,Divorced,33.52159670323541,Male,31
47611.51822381142,15.845926936654486,Married,26.398255838773853,Female,68
88768.4343273833,43.5800924831118,Single,43.90328705338227,Female,61
95947.60676020227,81.8128558816899,Married,76.0494723918962,Male,38
57952.66229356777,23.462195248738702,Single,15.61432855957828,Female,29
90390.4354820433,38.20844437350055,Married,41.55587509407311,Female,59
87884.64382190605,51.153081637757964,Divorced,66.18302474721345,Male,60
41827.104326372144,18.691490780623397,Married,6.004267507216406,Female,71
39553.32866869327,85.880844547112,Married,65.59107018798768,Female,46
43585.81782003296,18.598451683096826,Divorced,19.273881583667862,Male,65
44979.31325656808,18.62781772589695,Single,10.402543573327529,Male,67
26818.589566101025,79.58011990180202,Divorced,85.09469219366626,Female,47
92029.52155569548,46.23744964911082,Single,76.12554997201406,Male,63
25412.109723761958,80.49793147890674,Single,86.2671646881622,Male,71
86675.9223799848,81.48304634001585,Married,79.22065110374658,Female,37
82307.92749515941,38.75057182500985,Single,31.409443057551478,Male,57
26338.31258073334,85.4710234489393,Married,86.43615769127287,Male,73
27859.256425068746,84.92557431107285,Divorced,87.85802296837022,Male,75
33466.00310052236,76.15178142280513,Single,64.2267411887215,Male,51
28183.421698872946,76.6077235583727,Single,73.9599486321555,Male,64
31762.423015642922,84.2405245406519,Married,86.88769642721267,Female,47
87115.62561624651,80.05371656065842,Divorced,75.94832791112297,Male,34
49836.76408635539,23.33314898827284,Single,38.71822062873609,Female,27
42622.617466467746,11.53258085729231,Single,25.292728665498203,Female,68
84625.75930429439,89.06847608395043,Married,87.47346616799163,Male,32
58053.62100017497,27.693527819631118,Married,16.447339308201865,Male,23
41270.137458386,13.469324459572892,Single,6.975139256644404,Male,68
34874.22399176104,87.90054383066322,Divorced,96.85613236103528,Male,46
31522.883653990455,73.13300499163287,Married,80.36135796831094,Male,45
89386.34406335969,93.91277147166565,Single,89.43335727243627,Male,35
32365.087158799153,83.21696507606259,Married,80.96544584967053,Male,73
39842.23995102331,15.021677128459288,Single,3.1478895327836405,Female,69
84915.85461217193,42.725746896794334,Divorced,54.1429105920459,Male,65
85263.47896047987,82.19175959308798,Single,85.32313261704783,Male,39
90162.29245539544,48.20735817040904,Divorced,42.22274117115045,Male,58
47011.7904053228,10.016043655812439,Single,9.541955537249358,Male,71
81843.2980529027,53.00399109586921,Divorced,57.457733385789986,Female,59
53644.3537027783,26.51291298671814,Single,25.896311378340876,Female,26
52907.80180647993,21.69117754735617,Single,23.577494205676174,Female,74
49152.079206808674,18.89772215867459,Single,25.859053057414016,Male,29
96077.16651223897,87.90284291419877,Single,85.51993478629336,Male,34
88496.19989147209,45.206238082072865,Divorced,54.486168755085075,Female,57
96727.47822563679,46.25401966188784,Divorced,54.97412905605874,Female,63
84132.34690677523,46.20307554399827,Divorced,55.10825155708788,Female,59
41190.39842008072,75.17591015943728,Married,80.0365100780649,Female,51
26709.163904231853,74.67082006338333,Divorced,69.28431957603567,Female,45
60584.00200243927,27.37511755777745,Divorced,21.168117609343895,Female,25
32491.375622845942,76.76321500804248,Single,76.19310357792516,Male,49
40587.35135379441,17.805489575000518,Divorced,6.493119021490912,Male,69
28741.142098620472,77.59261498753105,Divorced,75.733685230515,Male,71
89204.05821432802,84.4549171912781,Divorced,85.01745525703183,Female,37
40089.6575663516,12.511411631043366,Single,-4.3194042291222665,Male,66
21296.43564175757,78.88450467732969,Single,75.60349110305253,Male,71
56326.09527741171,24.533705296767135,Single,22.756248746374286,Female,31
26537.56675603991,77.69792122097519,Divorced,72.65053637768565,Male,72
53750.044497184375,29.053901446748462,Married,15.617589801360158,Male,29
84332.54557933948,42.02074025007095,Divorced,36.89439487709895,Female,62
23963.04619870203,79.85194259753615,Married,53.391706801572255,Male,73
54794.32775401768,22.832771840659806,Single,26.964639972056737,Male,22
19219.608214416287,81.7411030995163,Divorced,95.08555894582186,Male,67
57764.22116735732,23.682433291722994,Divorced,39.520153839182846,Female,26
25172.20631864002,82.43855128314021,Divorced,81.36955008767033,Male,74
48334.967789495946,20.347262036265324,Divorced,27.736742480219654,Female,67
95385.70201506757,81.60506562522554,Single,88.45429567493338,Female,37
52060.853312765656,23.19677886089513,Divorced,1.5003195410704322,Male,66
36672.39051418303,77.4128959855085,Divorced,90.24260362731036,Female,46
60961.918346609316,21.30030389073337,Married,25.40691263905142,Female,28
54693.14019183719,24.24497693465222,Married,17.14124780881463,Male,24
54970.237080050225,22.563770164616084,Single,24.392979873052404,Male,26
28509.89417469201,73.7648452589254,Single,67.47173670524361,Female,72
98054.91653046294,81.28530584818029,Married,81.02780505432,Male,36
41753.3506855413,24.816776765113538,Single,23.06621177890146,Female,68
