distribution_channel,demographic_factors,pricing_strategy,Season,brand_image,promotion_effectiveness,consumer_confidence,economic_conditions,advertising_spend,Sales,customer_satisfaction
Distributor,2,67633.45906589445,Rainy,-1.1088522787379032,2.013995745033066,-0.11302952157610514,2.1435805870665905,7215.035361300115,6954.746190256186,3.3135196272447356
Retailer,1,42101.812307457134,Summer,-0.23509065217815275,0.17152985378644295,-0.28818624635410955,-0.005354037189914228,4012.157337559951,4679.838446829688,5.425220428661136
Retailer,1,71297.93382296013,Summer,0.9471991342091426,-1.4728139708432892,1.1838836860709323,0.22528010659682063,5454.6367026884045,5988.387963623595,3.838411791386656
Internet,1,86820.59797800187,Rainy,-3.474377040992441,1.0804686528350735,-0.48265596902624863,0.8247972840515662,3457.3318105898293,4086.7814575730877,6.886666788166139
Internet,2,54073.210243120615,Summer,-0.41877778928891063,-0.7322354744822344,-1.4238193370117207,1.3807656594503104,4002.268637356243,4818.762579306498,4.965595167498641
Retailer,2,59678.53948337064,Rainy,1.144351347456568,-0.5724068271188586,-1.0957648509479943,0.6859374450878182,7716.51028678798,6218.585175002845,5.44648523861554
Retailer,0,66088.23069261003,Rainy,1.347706183213241,-0.16875309920514306,-0.346790595779067,-0.7160192109679326,6458.012868766991,5148.855618178698,5.308100798482221
Retailer,0,55281.77083193765,Summer,2.164604379025296,-2.5791477524121937,-2.444400829828538,-1.1504344306132392,5337.365638240422,2464.9878883022143,6.031448658296175
Retailer,1,50850.18126381445,Summer,-1.3898624210019537,0.8577231574313442,0.48505854308925633,0.7155255935001866,5424.024349306124,5530.606537105279,7.769877367831819
Retailer,0,60378.2567472785,Summer,-0.03715060261274126,-0.6431533783190964,1.865457825778829,1.4402962267088895,8571.070092389946,6983.539683920686,2.5437950931689457
Retailer,2,16003.184084362882,Summer,-0.4119624843244432,0.17525673302887926,-1.6310641537493382,-0.4654451297543169,6935.311573344554,3336.83507909424,4.346731759004906
Retailer,2,53312.71246846875,Rainy,0.342608509546933,1.5568553968123553,-0.7129211269223215,0.5021732985642936,3071.935401933944,3555.8106824173697,6.823990018273494
Retailer,1,59717.2538851717,Summer,0.3714587762135941,-0.7308851460790994,1.4808834932848913,0.44802194584958427,3959.625872912877,5633.00837477814,2.976642678682656
Retailer,2,53209.91388209259,Summer,-1.2260487423925965,-0.49685562584491905,-0.7845146343829447,0.643460884931853,4319.012261293489,4058.8771052251163,7.085457382483071
Retailer,0,,Summer,-1.6771400998916166,-0.7925584948803327,-0.12986491447888882,,3021.280825295612,4864.843985296873,5.827612879196728
Distributor,1,69884.56520159135,Rainy,-0.604871406122465,0.2821609385986804,0.8331175212494852,0.7110466373515998,3264.4524042735547,4697.792583096744,5.712415159720962
Retailer,2,72067.14688931449,Summer,1.192812746275679,0.8138096735293663,0.9152652197779391,-0.4548151730007876,9509.433752796951,6161.735952137229,4.453783428900964
Internet,0,45800.087392297544,Summer,0.027698453408360465,1.3243677077654985,0.7609435536665994,0.022379066722173335,4477.253346280888,4543.0570222395445,3.1286695201673402
Internet,1,67589.1140451236,Rainy,-1.1189815971442625,0.5660496852102082,-1.4031029470562115,0.2899858880982183,4243.780753474441,3947.9554844912163,5.929275057775271
Retailer,0,48396.31509499594,Rainy,0.5050622166516846,1.0565814257627306,-0.4786962360769299,1.411789754104039,5218.257747392488,5192.582615762079,4.958295717132511
Retailer,0,48167.341433942325,Rainy,1.0160999618454598,-1.6170445413536612,1.3882969024836072,0.06693619225314384,6395.090915909246,5977.715034683764,5.711501380673238
Distributor,0,51746.584711562675,Rainy,-0.8689394676475212,0.4345555318707809,-0.42786913108064156,-0.17241600354507455,2761.3462280863096,4167.667900840966,2.972346382438084
Internet,0,44587.80276845083,Summer,1.0696034050081216,1.7527034806286916,-0.3947771508046278,0.8860430148534548,4113.539425615521,5243.685525074917,5.147041329104677
Retailer,2,76853.26986011112,Rainy,2.0278392298222974,0.4557383606608903,-1.0146015215012412,-0.2976720293465688,6750.382935104948,5352.3009352193085,4.118534562890142
Retailer,1,42007.476600370705,Summer,-0.015352293492353683,0.9570061972156819,1.019135189556896,0.2710683132749293,4802.501579414669,5090.014430122351,5.307756186492109
Retailer,0,,Rainy,0.945790301764404,-0.23508291160844147,0.4596553186092142,,5375.69509229831,6599.093201239709,5.903712593051954
Retailer,1,90754.68643325171,Rainy,-1.192968527802291,1.0898151653417754,-1.6619943724432085,0.5224496221871904,4293.384351398781,3851.099888613664,6.95075735091433
Retailer,2,47897.7500260556,Summer,0.6826021053443109,-2.2885067739904565,-0.44610752706371865,-0.6653117275516838,5571.999426806857,4794.485950992959,4.818793941080385
Internet,2,54806.47129811861,Rainy,-0.7970148285351384,-0.3383796047538209,0.2578280683768778,-0.1298158106937564,4713.362054070163,3800.267648831483,4.454313885135948
Retailer,0,46004.084584072596,Summer,0.1135800393773616,-0.1439413517162262,-0.21233096117358802,1.2600682114559847,3195.1413055349585,6497.720325080239,6.440656152360367
