customer_satisfaction,consumer_confidence,product_awareness,advertising_spend,competitor_pricing,promotion_effectiveness,population_variables,Sales,financial_circumstances,Season,distribution_channel
5.561798346873556,0.7817773257733303,1.5437404746500705,6279.3612490120095,52624.00611933258,0.11254694891848607,0,6565.14343649839,-0.662635676203671,Summer,Retailer
5.634042809832124,1.121519167084427,-0.20893879551139075,4581.800663748124,65714.92251649538,-1.2752473518390335,1,2766.0216445847514,1.5444715483704108,Rainy,Distributor
3.6584006051753026,0.5869478080618417,1.143705362939936,7147.633431271644,47840.03933977424,-0.8858484594255538,1,5532.090031684057,0.5438920889849757,Rainy,Retailer
,1.675563685934893,-1.5515788353304736,,65681.44612210915,-0.5863751968079899,1,4667.218525792341,0.7120684506220356,Rainy,Internet
6.458847087942915,-0.30044224243193496,1.0468548505542312,6195.235803788513,87934.18942312586,-0.7546937753881914,2,4457.474394408356,-0.37256043385539195,Rainy,Retailer
6.31126153739284,0.2579118486160282,-0.34861389986061386,7214.621663890894,52069.832400987456,1.627767354175997,2,7284.387489744592,-0.04805206130643094,Rainy,Retailer
6.113075680004843,1.4467969107197867,-0.8732932524087043,6668.319651223819,45419.36142347965,2.1679880781652208,0,6918.731249872861,1.096493591234138,Summer,Retailer
6.190503467406326,-0.8023626955001285,0.40853847019932044,4653.955748865819,29511.34940800838,-0.4867433259992309,0,3325.787063042083,0.2850838546373883,Summer,Retailer
4.701400950403083,0.2609434921303969,-0.35727335608251576,5497.357238742957,52553.63908339442,0.21618654665255446,1,6681.219275346106,1.040356347301036,Rainy,Retailer
7.630055377737567,-1.0031905667484395,0.3169426323126313,5521.6864115807275,51878.9389093145,0.03187983207533983,1,4612.340907340604,-1.7187130713640528,Summer,Retailer
4.018176832110034,0.7459555392192785,1.4508942587397173,7929.510571351173,56035.56705848895,-2.159716098834976,2,4444.816934869692,-0.025764942762490483,Rainy,Internet
4.43117120126868,-0.9244097032784767,-1.3504039387317344,6301.146410384076,46244.36189962149,-2.3486600208991932,1,4171.318565528782,-0.5973784743968977,Summer,Retailer
2.9468308892883135,0.19425908764861935,-0.6825265664674922,6480.384929828491,37235.78219696719,1.3907808808854019,2,5399.820076049486,1.8536631882608714,Rainy,Internet
6.181321555404983,-1.177540569413155,0.34841303038098637,4581.097574243739,51947.74381524167,-0.10381146650552588,2,5683.984619461324,0.8984206120506599,Summer,Retailer
4.827644938169128,0.8872665666725956,-0.4410755206353149,6499.452823065347,47619.307519608825,0.668496180087796,0,5681.243730184001,-0.5978678706142074,Rainy,Internet
6.014831042365365,1.4137057757943654,0.3424417797958009,7496.401663312054,42441.31088707397,0.358131502625917,1,8035.744913297274,-0.3001370187852262,Rainy,Retailer
2.849773145489601,1.9222790438065767,-0.3250628743668215,6992.868155994711,54596.37539098471,-0.24627538569823135,1,5094.966518993021,-0.45092898801724807,Rainy,Retailer
2.46388965892804,-0.10650662765934212,-0.00797862520191121,6258.36953241405,68813.9411654598,0.0711512297519333,0,3605.4526752341426,-0.3657565179707067,Rainy,Distributor
,0.47570641337395936,-0.5448773188894804,,73949.96703157751,-0.018738647964993464,0,7586.263271317048,1.4742906702796879,Summer,Distributor
5.36347664209494,-0.795510750940522,-1.304099520207014,6535.745278590608,75112.95899700662,-1.0544693993153809,0,5164.186312232738,0.5961952938804798,Summer,Retailer
4.394308455159091,0.6844208973622136,-0.9733852773986285,4380.670649759446,25624.44560728674,0.07875851584584018,0,4395.419016727604,-0.15842571063737235,Rainy,Retailer
5.071921855147958,-1.8852718121169214,-0.04078564887763695,6991.910823174899,64402.46504459377,-0.9191003162683288,2,4158.123712522349,-1.5580292497669177,Rainy,Retailer
6.501238169056542,-0.14993129316607312,-0.8802043793456518,4719.244485017217,57352.40774456933,0.1567133590356107,2,5604.7925834750495,0.2975636455446244,Rainy,Retailer
6.353428602108858,0.14264632884469705,0.3591133337075342,5696.215773925316,78951.66568182618,-0.17358966134289763,2,6391.122288332647,0.3666476244198197,Summer,Internet
6.298341024134516,0.9190471832523592,-1.6343798907608407,5944.10660228678,70203.46571280036,-0.16456197595111355,2,4557.099676062837,0.6775022413849833,Summer,Distributor
6.024391033111364,-0.845061105106208,0.6778850001602028,4160.121829408897,63943.41977566474,0.5724752308744916,2,5053.556427155851,0.2953137924156799,Rainy,Distributor
0.6584005901902277,1.0099572831341888,0.7562607807963106,6473.059272580866,59367.67412744876,0.2503257608221086,1,3119.6187741032727,1.3966577088665257,Rainy,Retailer
3.705830999923564,0.13460947956013924,-0.6379676313003132,5106.285044823792,84868.95041702327,-0.8005017309680025,1,3715.430235617555,-0.8091681977951146,Rainy,Retailer
4.448199992528068,0.005708326626488029,-0.7759181725696221,5227.9802920928405,44129.34836108909,0.30027519941037584,0,5294.379219113616,-0.26997164202991536,Rainy,Retailer
3.6715826225097254,-0.26950717677267133,-0.1870271935609026,4434.4505017138,62862.47262419172,-0.039495590678686895,2,3922.6873494754045,-2.943876410529656,Summer,Internet
7.8617961545564,-1.372229740889204,0.9375527550329352,5924.593860928594,58269.43359830269,-0.5810704971894802,1,4454.485025835165,0.045436609343833714,Summer,Internet
4.478318379735489,1.4812369827381116,-0.6559668391972613,5150.294247192611,63853.793689548475,-0.8025516912100491,0,5449.519662237288,0.30340278360990175,Summer,Retailer
4.99951134629945,-1.4121822297207738,0.8804307220275083,5285.244239196326,59203.980319767616,1.8432158368986962,2,5356.538932566483,-0.34631003206234684,Rainy,Retailer
6.723742397711069,1.4751150912928264,-1.8025423697386327,6483.004894309715,51994.25050621483,-1.3757306151095083,0,5723.058619356726,-1.3077468606788916,Summer,Retailer
5.211848532068681,0.04193507015473632,-0.8768738823263268,6593.469263617459,70189.91770109041,1.2412367785638623,1,5472.3711785324485,1.5659865613305144,Summer,Retailer
,0.37514542548552826,1.5499158631266197,,57843.47933865065,-0.1302630796218241,2,4856.964856184489,-0.6552981137237621,Summer,Distributor
3.0983273341665196,1.02182683390215,0.3797156030414726,5216.9591450078815,64705.13364788932,-0.3480805857012253,2,4227.974146213639,-0.6848420198723466,Summer,Retailer
4.8544006247680755,-0.39992561245311303,0.530292766001163,5468.853029014614,75644.66844686838,0.3297461151457747,1,3839.940900145656,0.016722414966940043,Rainy,Internet
6.813201923689872,-0.7493208943452319,-0.02671694424551365,5526.75770603605,59492.078901216235,-1.1290865589969679,2,3867.149474478834,-0.9696408837207277,Rainy,Retailer
1.6727771142355534,0.8193069129949322,0.32514793295151134,7025.934717820215,44725.48404609173,-1.8707261461238105,0,2825.6246697881843,-0.3793764640842714,Summer,Retailer
8.375274107992396,0.970692368587621,1.3557088393851342,6935.754096841622,54429.34505469803,-1.9400656535741434,2,4094.422638865117,-0.7735680074031255,Rainy,Internet
3.6852797053405193,-0.5888338359498959,0.2237119570211008,4666.234317071756,44156.085242405075,2.2861085328759345,0,4687.792755226467,-1.0226057582294268,Summer,Retailer
,-0.2769333997721008,-0.6484332081677918,,62246.04694919595,0.7716270819258533,1,6056.644421472997,-0.4078134136550985,Summer,Retailer
4.189494943187414,-0.10021958772660149,0.4713658011998083,5153.075970325103,25092.888201768255,-0.5012028831779741,1,3560.57823173254,0.5654476870273271,Summer,Retailer
6.796178172453575,1.1172358192044365,0.20777994120986282,5607.11575179357,66462.84052094552,-0.1823142900790641,1,4840.573990057864,1.2054811691636147,Summer,Retailer
