Satisfaction,Gender,Happiness level,Age,Household Income,Marital Status
38.42301407497331,Female,43.4849560345456,38,148197.8744594273,Divorced
35.65038906050307,Male,39.79446774095843,52,139719.19095011067,Married
85.74764916303747,Female,77.40472567189778,30,114800.44565664069,Single
40.187565304037,Male,46.11144222737335,58,123130.83750940116,Divorced
31.95021252398864,Female,37.32321820442669,62,118186.58208471649,Married
56.65542006395325,Male,64.98472846421791,70,161092.12139011166,Divorced
59.308742908516436,Male,73.76819859498849,58,157330.74357644346,Married
41.41627320893754,Male,25.49291051747049,59,133184.79916363631,Married
34.4024826675637,Female,33.56494456868608,36,165483.58116127565,Divorced
53.34835919084812,Female,72.6681820516105,74,151853.4859952233,Married
36.89454443299867,Female,26.013077986966785,40,174689.438906597,Divorced
40.674367889466986,Female,30.13441809748762,68,128557.9110196122,Married
14.34590488323773,Male,7.444091200033442,47,53039.66893169863,Divorced
46.112944142667246,Male,51.39051369518227,67,122189.11828042721,Divorced
84.5505651296204,Male,86.77816153655496,27,103378.01231891874,Married
39.409240971738726,Male,37.56542778543532,64,114637.33194424325,Divorced
14.690222939644478,Male,25.86310784434749,36,52379.59059489201,Single
40.71614744780574,Female,46.35520213059546,57,124178.17100094169,Married
41.75734995789072,Male,47.75589651263758,58,110842.97875155511,Married
66.61181481657965,Female,64.07287251313971,75,152399.73642386417,Divorced
62.95790522841175,Female,63.9013687465137,62,162155.08192140746,Divorced
54.21011838657238,Female,56.93974463567539,69,167403.59697397435,Divorced
86.140968820344,Male,78.85419839984303,38,101383.12498899564,Single
13.528467249150367,Female,13.65529790489461,33,60709.85391000162,Married
99.26335532631413,Male,82.2719416223591,26,102818.15473876198,Married
84.89816909156545,Female,90.27312136174481,30,117533.5347949966,Divorced
54.93935413480924,Female,60.74294478859956,75,145306.16250685652,Divorced
56.00528709903177,Female,59.667025936974255,68,187473.42149869044,Single
35.908470641846606,Female,35.491036545409,31,169567.90455824474,Single
59.60947462260952,Male,48.70722306174009,70,153333.0797805349,Married
10.528576677628259,Female,5.384294342098683,43,72038.55008646783,Divorced
34.034831957534394,Male,36.52468357532744,35,173943.67711069976,Divorced
69.45515150455428,Male,70.34757133191512,65,149014.18204538742,Single
19.718983289246545,Male,20.053451708529614,39,37694.553512916915,Single
42.03383597161252,Female,41.58523760272884,34,168739.390223402,Married
33.20343785695165,Female,22.611907648538107,59,119383.06219191996,Divorced
9.393547274735148,Male,7.924890358637452,44,49065.1499726739,Divorced
12.915907120383679,Male,14.384095968405326,40,55316.68921328812,Married
58.11952440643314,Female,68.0495177808119,67,173455.52431223667,Married
83.14500859685732,Female,83.13419561858005,34,110103.28709887236,Married
15.695038632322806,Male,17.415787915986076,44,60109.23017773064,Married
50.72569147674908,Male,53.4201171132385,71,171228.64588868915,Divorced
87.89319922398995,Female,89.80243490743972,39,99731.29541644308,Single
46.04348644087064,Male,60.91503873112532,62,112022.23005383326,Divorced
84.83168471313762,Female,84.32436858120985,35,119895.73280707723,Divorced
44.14990137984347,Female,42.85552893019507,63,119533.98330879684,Married
35.82645627245519,Female,32.135259249133284,54,118855.32110763672,Divorced
40.781415607498495,Female,52.32517944291725,60,118720.33081934767,Single
84.25051741161329,Female,78.14524532492035,31,97656.47508152507,Married
85.96862518170474,Male,69.63959683671237,30,117936.56981658156,Married
29.46132955444972,Male,33.95569956627,34,164562.09981596877,Single
11.05888945561071,Male,3.372589445406615,37,44905.96392290467,Single
41.79272640581562,Female,40.475228439325555,33,178186.22963993673,Divorced
40.43640981141459,Male,31.675307590315448,64,133216.30888405512,Divorced
61.92801270274651,Male,63.7990813956485,63,156365.76399224545,Divorced
13.529652903626967,Male,21.00072414135724,41,53228.846688640915,Single
73.48938757438931,Male,74.25968653741481,28,114149.60301510317,Divorced
71.16063483465079,Female,66.81384710551471,67,154111.32747205245,Single
36.63163438484863,Male,51.06609216928537,62,109403.730685809,Divorced
59.009140838279976,Male,72.97785841120785,67,160212.87699862523,Single
76.03300828836888,Female,62.43705884267037,34,121686.88974301079,Single
13.021308949597518,Female,19.247578153771315,39,47419.56843756385,Single
85.50569532964192,Female,87.25791162986744,25,123303.1001503328,Single
28.50502272952676,Female,28.657674928458153,27,170733.08824127086,Divorced
15.283615078232309,Male,22.278978297387432,34,41431.78096302715,Single
17.355522997820607,Female,19.241558842820663,34,44960.5872017089,Divorced
26.77819697062594,Male,7.215700840644001,38,185143.43428251852,Married
59.52451518959024,Female,60.83726254939074,70,172213.68839594675,Married
84.51695161797925,Female,77.35426859676085,30,114956.5842132374,Married
87.65599047996963,Male,101.86977524096848,28,103671.72725771368,Married
7.562609942074005,Male,14.753612014303215,38,59237.152543797725,Single
36.433561445889545,Female,45.084561727610215,61,132501.07277020664,Married
42.70510369122317,Male,43.40236821374686,53,136529.9020569595,Married
58.603658417978636,Female,59.61072142012464,74,165292.2433588925,Single
32.002549434904964,Male,37.289061734741374,65,120064.32364913894,Single
83.25915814419803,Male,88.64444077832962,32,106169.24494963551,Divorced
33.389875837291555,Male,48.52994828343403,66,136207.55276295895,Divorced
38.62778248506013,Male,44.16858513187946,30,157874.67184069523,Single
82.75116069700904,Female,79.91739853008109,28,104789.82674739396,Divorced
83.60041922603548,Female,82.71550710718557,35,119723.41190620666,Single
42.530880175141135,Male,40.01352368337608,32,184565.71563209043,Single
39.669058680921744,Male,29.36743889779143,62,136731.16477582205,Married
21.557281662717607,Male,26.784659053313508,29,179325.61731479366,Married
41.48835515446628,Female,38.04881733656209,30,161953.42845759506,Single
53.28083949791974,Female,64.14046356509392,65,129794.155186567,Divorced
47.37278514308387,Female,41.17084550659843,60,135419.24523780603,Divorced
53.27488194797476,Male,60.78845213273306,67,168083.444463169,Single
43.03938683245234,Female,40.07737336070418,58,121868.56591960182,Single
39.54596666316589,Male,47.099795922463045,67,124353.35261268352,Married
88.13926759443419,Female,110.9396275757535,31,115033.67353610067,Divorced
48.945259791245064,Female,49.73234108347238,67,160410.94417550106,Single
51.274010099862906,Male,51.77882704884508,64,117199.82647203885,Married
13.45313353567866,Female,19.731164102620426,41,76195.35711937555,Divorced
81.31984627185507,Male,86.04291310695433,32,117227.20055519763,Single
44.235113390376384,Male,29.86096461725091,62,130214.97615221294,Divorced
34.21073941761792,Male,29.316226623719523,32,170166.93852562667,Married
38.91793439824655,Male,30.8308359556185,34,180119.94710670187,Divorced
37.06442065457248,Female,51.71989889885102,57,123739.19829695945,Divorced
84.75882294429896,Male,91.22472408633698,29,105288.90127304559,Divorced
41.62316526079785,Male,29.06614741113225,34,179466.20267266495,Divorced
32.6862685475506,Male,36.05642388214359,33,183539.48686374977,Single
38.63482582970854,Male,43.175497871776436,59,122057.9251238305,Divorced
88.24332624360045,Male,75.51455261393987,34,118012.64556148807,Single
56.44756454645604,Male,63.430716884585124,73,167728.18402865942,Single
5.174950619636448,Female,20.386489312649474,36,56134.9951884601,Married
58.061739440201464,Male,66.32247273093105,64,149325.80725641473,Divorced
59.74558076020202,Female,65.18708113755609,72,160337.87967204791,Single
68.46902095343744,Female,62.879749987372236,68,155746.14639662317,Single
34.14337568203729,Female,36.354261832441836,29,185830.57488258588,Single
15.391370773652362,Male,20.02947403776823,46,59180.966411460424,Married
7.2124104024883735,Female,12.067796723304507,34,59370.90185362665,Divorced
14.948218942441358,Female,15.964487655497171,42,43460.93435111012,Divorced
32.919110104887366,Female,35.20133058578544,32,164613.1812427962,Married
34.69085447445967,Female,32.336573507366204,63,125036.16132884861,Married
38.613832797029296,Female,39.36434521413823,31,174686.4431226674,Single
13.832933223083657,Male,17.208066640072314,38,53917.34782325583,Divorced
64.51494509922051,Female,52.5338019919173,64,157970.53256374708,Divorced
38.39518558978699,Male,40.83092327813625,61,130967.38085267482,Divorced
62.724855502128875,Male,60.90475467945947,75,166895.7041203878,Divorced
14.765831430532366,Female,12.406364393370284,37,61066.07030761114,Divorced
49.54036144001018,Female,39.03339727202259,60,130561.62500776691,Divorced
61.01593793576991,Male,80.36224822567912,67,168162.89467559007,Single
63.26525747907907,Female,65.71161721156182,70,158612.5922318036,Divorced
37.98126965701148,Female,50.05339316953791,61,105273.54972010198,Single
14.503790464382533,Male,12.82560195049948,42,71181.73282589242,Divorced
50.4834787815246,Male,48.034562587002156,61,130624.28614945117,Single
37.07116539972655,Male,41.218745711883734,66,118857.90849020274,Married
58.43043800112369,Female,52.03093624054707,65,176898.164081633,Single
59.656836089942715,Female,71.49122942560936,70,162786.2399114666,Divorced
34.16103196688444,Female,27.058914325791605,60,123856.56876921485,Married
42.755591995684306,Female,48.39196035969998,33,178755.3427823603,Single
62.819174085587605,Female,60.21283892210806,70,155677.4384495954,Divorced
48.26779602115554,Female,33.975149562170145,60,114846.54493513833,Single
13.288697984035771,Female,9.071763092608455,40,62668.07210341694,Married
57.661586875221445,Female,66.12681788692505,70,158133.69952894814,Divorced
8.79825773053723,Female,-2.7910138023743425,40,68257.31481448049,Divorced
34.31323038195184,Male,30.20718804689174,32,163881.23284485243,Divorced
45.81103806812269,Female,44.23247751960951,60,118145.61055881616,Married
36.66010474163063,Female,36.43440716630038,42,182113.0883554004,Divorced
26.514399455531468,Female,31.984823765704576,31,173250.28549929464,Single
86.39417435598199,Male,94.99288538856527,34,121859.73162241498,Single
10.09431713179729,Female,19.033503226732343,35,60917.53285641436,Married
78.10581231185185,Male,82.90455445220238,36,107781.6028617129,Divorced
58.17464085630669,Male,54.174408495327896,63,173326.42214034873,Single
82.56075588857368,Female,74.49670178462003,33,101246.5355588361,Divorced
41.04393242930901,Male,34.149773518955605,59,125831.85726945712,Married
40.87067770794667,Female,39.92168986345418,60,116538.17306256547,Divorced
58.3927494187869,Male,51.87482861021301,66,155109.87785087078,Divorced
18.039828033540033,Male,24.051221986158236,43,57455.03483299937,Single
64.25789273022696,Female,64.30977349063582,67,161179.3751078122,Single
43.43054779716846,Female,58.43451825970881,34,156479.30488487481,Divorced
34.02835347496834,Female,36.23551462215041,34,168698.17487380232,Married
35.17907940964184,Female,28.658099653121084,26,172693.48380431763,Single
41.12184415242828,Female,33.42261788850052,34,182361.501221485,Divorced
58.879064211420975,Male,66.50623805137559,72,169731.89078389725,Married
53.96029789247119,Female,32.01734652142581,66,180277.11390446636,Single
67.11709598485382,Male,69.16297235598212,72,178198.05696061018,Married
76.10458631652838,Male,86.38987860798599,39,115458.04536060443,Divorced
9.513631620513642,Female,-7.146028953799917,40,54754.522293670336,Married
83.43985592715461,Male,89.22237127193956,31,117556.43730944952,Married
32.5609809247219,Male,29.501367671973394,66,116540.80374859249,Married
61.643104734690326,Female,78.1185312095662,71,164907.65868555184,Single
