Time spending score,Monthly Income,Gender,Money spending score,Marital Status,Age
82.71674568022198,2110.4515915589373,Female,78.5549217275019,Single,40
112.24009438542241,7505.815538025254,Male,100.0,Single,66
53.454546323038656,6862.108905923209,Female,44.99284844393941,Single,66
21.631877001256413,2003.0456530331344,Male,37.29606438254294,Married,24
49.58579836615706,6367.200559848057,Male,53.15894450506077,Divorced,69
81.9928395405365,1934.1222524521768,Male,80.04993733821298,Married,42
75.89539152303873,1918.7770023148055,Female,89.03760710575773,Single,34
71.16622941913396,7479.643319486833,Female,78.78633077840733,Single,68
51.08521266174362,3609.743399591896,Female,44.1980694570202,Single,74
80.19970902849781,7192.8648678339905,Female,74.4612215487752,Divorced,64
17.044323143527965,1687.0683516287763,Female,21.485042363605608,Married,46
90.96868777492972,7708.963643466162,Male,83.09356192280154,Divorced,64
43.373620294897265,6527.268517582177,Female,45.62642958605809,Divorced,71
46.591116175589804,6729.739219032829,Female,33.85683876704528,Married,72
32.6397907911575,2363.4245231030645,Female,32.09572617113015,Married,25
81.58764544520601,2308.6821292650384,Male,71.82969822378323,Single,37
-0.08017055432030773,1780.9414915853367,Female,9.782601497983123,Single,45
63.84618475792031,2273.170622205854,Male,68.43035568889402,Divorced,37
81.12964562746231,8072.837057638186,Male,82.32615764025687,Divorced,62
18.986358655459718,2349.6784167634273,Female,12.921710755123748,Divorced,54
14.719528167362014,2108.2827600152464,Female,24.08432656212782,Divorced,28
30.545149387721942,3976.987047531111,Female,49.16094619880661,Married,71
50.03699300999726,6540.723241426028,Male,48.95857363260679,Single,67
73.65921344627428,1781.5727713298156,Female,74.41015205656701,Divorced,42
55.62483604488514,3849.9918189045243,Male,52.07146026123172,Divorced,74
56.21843160601119,2165.436595071833,Female,51.74348260959188,Divorced,32
38.97835817134918,2705.4806435509818,Male,36.0110385769937,Single,26
79.89243122559176,2228.7996405279814,Male,83.53250150424394,Single,39
55.03160983262924,3583.891693427065,Male,49.85457235759106,Divorced,72
83.99853769271357,2121.155265930513,Male,66.97233000261662,Married,38
4.524023779588989,2343.7202613382196,Female,8.56664299800918,Divorced,54
87.25433647729302,2517.1066395294797,Male,85.09457506460518,Single,37
20.054426471519005,2984.4131039358435,Female,21.819553944840642,Divorced,25
