Season,distribution_channel,Sales,consumer_confidence,demographic_factors,advertising_spend,brand_image,promotion_effectiveness,pricing_strategy,product_quality,economic_conditions
Rainy,Retailer,6172.563344677263,0.5037000818248537,2,6324.76825139235,1.0018885954669114,0.3683792039727809,63289.46925915829,6.367767093132988,-0.5014088491053306
Rainy,Distributor,5496.540246070977,0.058829300313499915,2,4125.564633349609,,0.9225038067258335,72585.26997355453,5.513422731024605,
Summer,Distributor,3372.41212717955,2.5232435337276002,1,4100.73426420437,0.5179757746782423,-0.023397054395728385,52874.25599381535,4.737465624856256,0.1294830341386544
Summer,Distributor,5287.635001834518,0.42172343293991776,2,5557.744816166919,,-0.47447772592144655,48006.37782892094,6.0538674436144095,
Summer,Internet,6152.949064421718,0.24445459474804868,2,7776.0062487816795,0.10864109446063897,0.137892036657343,35690.07524302144,5.162211416266895,1.385986307393798
Summer,Retailer,4621.945640451094,-0.7940042278383982,1,4797.233042989374,0.19420191709277357,-1.0680131680502327,64078.48736942064,4.260470194186036,0.027326402043881818
Rainy,Retailer,4644.636612113771,-2.262148616214766,0,5732.893145566917,-1.2530189160162664,1.2517486800030493,31134.068516265586,5.396658675116103,1.422065980793077
Summer,Retailer,4056.6190215634356,-0.08764913805633212,2,5100.726134014435,0.8516649734011867,-0.821147816194014,59542.33046493916,3.163914140567214,0.34843318428292885
Summer,Distributor,6080.34545586405,-0.06445376637538705,2,6956.701274129172,0.9002311740200806,-0.6102198186910367,56649.779539779265,4.809632673699747,-0.1287544183104551
Summer,Retailer,5114.108751438806,-1.882710830320224,0,5813.205496407545,0.9287245803687134,2.24545442734554,60271.51070276882,4.508850847204611,-0.08309308725344186
Rainy,Retailer,5654.915708703823,1.1806290980691045,0,5178.290117444816,-0.7914577546108976,-1.5762644234668863,77445.37867639754,6.027724906319683,-0.5703683543515429
Rainy,Retailer,5096.486335924804,-2.8678853551480628,1,6945.844268912448,,0.6739121451861874,54658.36080652839,3.487816313722626,
Summer,Retailer,6989.883149011832,0.913112217027503,2,6376.662224111552,-1.3251459027751737,1.5268246372397498,77625.71827291668,5.19247085474088,1.1199757695772932
Summer,Retailer,6689.422490830038,-1.0298366896231654,0,6080.334635065246,-0.8131204199550031,0.5360829796558779,71886.87493197942,5.496810262006468,0.6635251911327082
Rainy,Retailer,4261.803266563221,0.8182795690919679,0,3084.9759135424106,,0.4475637643763798,70520.1847804724,6.564705149564116,
Rainy,Retailer,4532.690216026314,-0.36091102617812154,2,4734.385976954825,-1.8745456958269613,-0.16524333478618955,63777.55018718571,4.359424647037248,-0.23990970105544437
Summer,Retailer,4257.157010662809,-0.07040625056358896,0,4643.146043650711,-0.6608966581789439,1.7005602015934036,50056.11053011654,4.967808855566766,-0.11916781505121317
Rainy,Retailer,4608.225303207453,-0.463911923748118,0,5359.534355128035,-0.6289368647622006,1.7898019728733545,71689.39255421155,3.2044988276245405,-0.4103719978432442
Rainy,Distributor,4947.385235218375,0.2408762427727794,0,6344.129663459167,,0.9633637015023977,55006.09520580342,5.230308207156871,
Summer,Internet,6985.892077586341,2.0195001634826224,1,6057.280953188158,0.85054056096944,0.595002578867125,76338.29631914198,6.015293137726903,0.3363291236956419
