Time spending score,Gender,Children age,Money spending score,Household Income,Marital Status
92.53528196843575,Female,7,80.9336299629174,47484.1762540403,Divorced
9.81950252396922,Female,6,12.472630799107733,179131.94511013626,Single
95.18844309945985,Male,11,85.10395078360436,158368.93040208507,Single
82.17329601722071,Male,10,78.12988090566388,163753.3398590614,Married
67.11621126715072,Female,8,90.37603806181409,67841.67049157462,Single
76.78999633698533,Female,12,68.86310130156602,144409.72515144633,Married
68.25179559961629,Male,13,70.912871760274,154200.81120499433,Single
86.04663691931286,Female,8,86.7986711008764,46089.36986668772,Divorced
85.79930214168441,Male,13,74.40399720014592,139685.15984700577,Married
81.01886964276414,Male,12,73.84001465522766,145168.66482172237,Married
80.0875119694886,Male,10,83.52611921273245,156552.55119286713,Divorced
77.14224321850719,Female,12,80.82228667810949,154648.46036651876,Divorced
78.27704023208477,Male,13,75.69172344168277,155941.6098662539,Divorced
21.81685782091081,Female,6,14.40416458736432,187104.8527622574,Divorced
74.02010073149027,Female,11,80.60697225896166,148544.79450111958,Single
66.04408118509522,Female,13,75.99337851841989,137037.13310721688,Single
86.61983128964037,Male,12,74.41427299215293,147404.73270893143,Married
0.8116509101905205,Male,6,11.088617622648961,168596.24237390532,Divorced
23.871210002813765,Female,7,16.931858694743674,174355.72347775177,Single
93.56862048784984,Female,11,79.64000348792716,170455.1914518486,Divorced
100.37496908405795,Male,8,88.76627754394815,60046.07864111282,Divorced
73.53363462954303,Female,9,84.91199988636647,52999.954850943264,Single
66.04844897974284,Female,9,79.83173119453028,174016.26615607872,Divorced
11.387531678373453,Female,7,17.7111343420507,187328.17371212615,Divorced
81.76282727396324,Male,8,84.32315230011363,58850.08435463824,Married
86.0473907137188,Female,11,74.09557054398084,160709.59459831772,Married
86.63592107802636,Female,8,81.10543700210988,57294.38924536854,Single
5.190507714884985,Male,7,12.244515575386707,181470.38064947794,Single
93.0766605883555,Male,10,84.4335139927217,159357.55639386515,Single
108.25876592321193,Female,9,91.63299805472658,52330.45507889263,Single
63.444545612184235,Male,8,81.92460024425814,66815.22935574401,Single
64.93468188278595,Female,12,72.21930387389234,147324.2472643535,Single
92.2703338167227,Female,12,79.37347629045911,157672.2958000161,Single
83.27618589222539,Male,10,77.84441565015709,157101.67949725763,Married
85.34725780255452,Male,9,83.16769066242671,57821.54294419104,Divorced
17.607524472805277,Male,8,17.646590648486956,190724.85550249318,Divorced
95.72197668624906,Female,7,85.88825445731263,62517.17642021012,Divorced
62.30319713995058,Male,11,72.42524440876515,159871.75982399468,Divorced
80.29697445364958,Male,11,84.85448807948299,159462.31413687623,Divorced
97.90487786579281,Male,10,83.35854179910751,139841.9315157943,Married
95.01422250399295,Male,9,82.45687374198774,148245.7226566554,Single
84.3575616583994,Male,10,74.93618159577011,164771.77669747616,Married
85.30745947931615,Male,10,88.02375009830092,149296.86917121697,Divorced
86.09359115685119,Female,8,82.85929784157992,60892.15189283572,Married
88.74523515909485,Male,8,80.27280549510724,67230.01759045265,Single
80.25477044525843,Female,10,84.74287894352312,167093.9180357362,Married
75.00296564624166,Male,9,82.18800168329344,166073.96318685755,Single
91.29556942857798,Female,11,66.16291620723585,132902.86992067337,Divorced
11.46369011053997,Female,6,13.962651882906314,178708.82151242538,Single
78.27873009095435,Female,10,83.94509364729849,157530.32347016118,Divorced
75.71705081861872,Female,10,94.19137781041366,169778.12677288783,Divorced
77.20568500182355,Female,11,90.59871473114676,159993.35994180682,Married
85.89112884324477,Male,10,83.01382504354739,153208.0078586228,Married
79.92094242740022,Female,10,77.55965824153236,148680.87049102213,Married
92.02009318693504,Female,10,86.33177451703389,152167.54177579065,Married
16.975253254218686,Female,7,18.78837538295832,186083.71028597062,Single
74.6739024043382,Female,13,74.04348515066829,116285.47968092174,Married
