Household Income,Marital Status,Gender,Brand Royalty,Children age,Subscription score
42883.04044199901,Divorced,Male,59.58787696463098,12,53.36123544269023
53556.69978419516,Married,Male,50.42377228957494,12,60.613561356571196
137352.75381884837,Divorced,Male,70.39237486006478,7,57.75199594619473
126596.07037482441,Single,Male,3.070193288302292,12,19.20646648991637
110000.84309888135,Divorced,Female,17.853804487944434,10,15.467538556303131
107440.20979629752,Single,Female,0.13275020407288451,13,15.16001480219874
114205.91419761215,Married,Male,13.6326627150417,12,6.760243975075165
151775.5604925314,Divorced,Female,24.29293363678143,11,20.028261411155704
146348.69115676152,Single,Male,24.920849946493412,9,39.39811798004197
138811.15223278705,Single,Female,65.21361593040811,10,68.19632246491399
110909.96819058893,Single,Male,6.248037417154201,12,5.226781619665064
152618.74094042444,Married,Male,13.605258026780472,12,17.130599168732843
104687.09454190494,Single,Male,10.083591538854765,11,20.30115653329895
126498.97448531749,Single,Female,66.91947360407158,5,70.94422692275616
136983.15308505585,Divorced,Male,70.57429252734833,7,79.42477369074383
153690.32490365353,Divorced,Male,16.574684356000372,10,24.370552907906635
188895.80460803327,Divorced,Male,70.22944949974847,7,62.61770585854462
147512.24544624408,Single,Female,14.98629388338183,12,10.501380670671802
154123.27462754556,Married,Female,9.117266220303144,12,7.648996955226043
153209.4846367542,Single,Female,16.46657804790708,9,13.020886938505578
193979.7420084807,Married,Female,86.15699043267952,10,84.11335870272246
110283.03068456953,Divorced,Male,14.066183385479135,13,22.341972148959368
138356.7853336364,Single,Male,14.68564576344955,10,1.033648759315282
141996.73839120715,Married,Female,15.89336030813693,11,12.315434646668802
48432.032338129895,Married,Male,63.39647788861849,10,80.14620550091249
145031.87072152333,Married,Female,24.687401476101453,10,31.68713576252088
106900.55713516011,Married,Male,10.049530311548736,12,9.114183246193122
40469.69061875096,Married,Female,50.09206801236944,13,53.545936987280534
156675.60470389514,Married,Female,25.467700404846276,12,26.05236094124463
141821.42592434335,Single,Female,66.50099784966784,8,58.64146545109452
113076.54305692646,Married,Male,17.38730897524304,13,34.87397460374731
56288.14663060379,Divorced,Male,63.572646081118705,11,63.175253027450886
40045.5667889419,Married,Male,60.4835459466064,12,64.47420175945028
156554.784404334,Single,Female,18.870198366466767,9,9.21669332968085
40132.17573632636,Divorced,Male,58.04719985296566,11,56.702565817829324
152878.1741211035,Married,Male,21.963252705833998,8,30.704280087889614
154882.3076830499,Divorced,Female,80.22128740492755,9,92.3629671882802
159744.6625405176,Single,Female,7.580504048604212,12,17.822309947145715
177594.48702294598,Married,Male,87.3662661482031,9,85.80625022382047
142812.13287713352,Divorced,Female,69.72182337708435,8,84.58545454266203
153910.78867935922,Divorced,Male,22.250166538818775,8,39.255181219711275
117077.26255342789,Married,Male,11.373846761192624,12,8.261387560425664
45323.454758992986,Single,Male,57.831786150362106,11,58.25577790963446
149523.47447021567,Married,Male,11.58408794441775,10,2.1868514636533725
184972.82207201188,Single,Male,74.91870744553633,7,67.52866530476224
178895.18125983744,Single,Male,80.23159315239423,9,89.57378836043979
123284.24043754628,Single,Male,14.536752867595418,12,8.093652008736633
102378.2784889076,Married,Male,13.131041112232015,12,13.096914573349485
177198.02035804797,Single,Female,90.41397050694826,7,101.53942588999972
120710.74547388575,Divorced,Male,64.20960322182353,8,58.27453196648166
185326.25424314916,Divorced,Male,85.34778030014229,10,97.2770715789111
190474.59284072486,Single,Female,86.65954880613107,9,79.6839717141094
169897.6192340303,Married,Female,100.00000000000001,7,102.95434343417261
131730.13243831403,Single,Male,65.89138701707947,8,62.29554263796419
148419.25009087584,Single,Male,15.689380765926181,10,20.29984823744077
128566.67047730973,Married,Male,69.40938834947777,8,75.03055699839474
134172.96010253966,Married,Male,65.53361037893531,8,58.148216790894864
141685.05513014624,Single,Female,13.137636786802915,10,8.360254232357432
192606.21813399342,Single,Male,92.23357418275407,7,94.02157077007635
130430.71975352682,Divorced,Male,70.82997296964886,7,62.17694565777353
44933.32428185211,Single,Male,52.25600583230765,11,53.65211498934251
147342.2619281547,Divorced,Female,1.604142848886731,12,-6.932806648911818
192325.6105400297,Married,Female,74.54785524363442,10,61.96912657347538
