Season,Sales,consumer_confidence,advertising_spend,promotion_effectiveness,distribution_channel,product_quality,pricing_strategy,economic_conditions,brand_image,demographic_factors
Rainy,5522.271339841258,1.6974249430033963,3262.7830465281218,0.5409411852635274,Retailer,5.609300645533461,51760.38064485839,0.7374427928336789,-0.4523313833480433,1
Rainy,6550.120606631317,-0.9645973399002368,4332.678012986049,-0.16094379293008024,Retailer,6.548920810145025,71945.70892431636,-0.050527546563379946,0.7392572668168531,1
Rainy,4219.4361605434215,0.3447597871633656,3783.5368773024247,1.8773881360412905,Retailer,3.4303199682794663,50426.22424840217,0.9860113471442485,-0.8756148375328995,1
,4715.4040538748,-1.635698523628087,,-0.043978768790781116,Retailer,4.291303729452409,68517.8848639294,-0.025606296018690834,-0.3028088276321084,1
Rainy,4441.437514443477,-0.31674343394744614,1561.0666690096155,-0.8261367097935616,Internet,5.993756825487084,56539.161674658666,-0.5652684875434164,-0.710054105458452,1
Rainy,5131.864693881073,-0.1166239319770557,5338.735396136406,-0.6872591024093011,Retailer,2.9696969595360962,71044.67115202274,-0.35669688387549203,0.1503834196766683,1
Rainy,5960.8747116432605,0.6793087535379632,5907.5002159482365,-0.09249841203068192,Retailer,4.5739804331328,61162.18256988676,0.5246487615406036,0.6776814741406362,1
Rainy,6461.439562040246,-0.2577363440958263,6025.9545163764,0.6783017654977883,Retailer,6.664695042152555,66796.71099020865,0.7241009922409809,0.19397654967886652,2
Rainy,4271.803257266949,-3.5603964028063175,7727.7047784591505,-0.8412348199171744,Retailer,5.628499465340378,63005.755552340015,0.44381049328110866,0.3950622805847195,2
Summer,6059.819778730438,0.08018437056963477,2120.150677343083,1.1287069153383258,Retailer,5.1114882933341805,67449.20979308296,-1.3402119711679448,0.006702348191986334,1
Rainy,5580.80774582989,0.007318370834227961,3789.1792584008253,1.6513612277856948,Distributor,5.782046593761106,57694.13975623564,0.019959920629958845,-0.3821733769910155,2
Rainy,5420.112251922966,0.5361098423821841,5661.913459896921,-0.4592700882622731,Retailer,5.971209425769795,49556.96613987131,0.6591589212291354,0.3719076833243458,1
Summer,5300.647181766185,-0.3252290612223279,6702.39953213582,0.8200758622084917,Internet,5.958894791089053,61923.35618319752,-0.7099038259361048,-0.5401965557003467,0
Summer,3744.3675131246227,0.36130474189215706,5494.562694510079,-0.3335853508207618,Retailer,6.346152625314686,55645.28885403961,-0.06783005468345939,-2.5397291187806936,2
Summer,4793.5323400648185,0.5265048170637334,5607.365678292248,0.32268398271656723,Distributor,0.8603052813001666,64527.897009237015,-0.07417723201522092,0.3143938013254222,0
Summer,5494.030448358988,-0.9725484306878708,6834.69888024381,0.32839916239442263,Retailer,2.314604538116587,74226.53696418874,-0.13837194669561112,0.767131975913022,1
Rainy,5226.074497669615,1.1095244300860432,5841.363925916288,-0.3223043406548133,Retailer,5.245119490410726,62847.350980189956,1.2581756144499974,-0.9092927571396683,0
,6266.2909210655835,1.6471680446000831,,-1.364732881480807,Retailer,4.908612117692895,59943.65942380676,0.5646412601288009,0.9325996496900023,2
Summer,5350.982782876139,0.025061795871481204,5241.091433951599,0.9205142570639296,Retailer,3.846379843837915,67347.33607748635,-1.5814792981616181,-0.3967386201765089,1
Rainy,5710.732891142188,-0.3736375129042544,4235.005993881952,-0.48169481106299494,Retailer,6.473602180735539,67971.44076587488,0.32845385369093266,-0.35848408413389293,2
Rainy,5865.840985058593,-0.40130869672423547,3286.321838985736,0.8056580423442921,Internet,3.9484769395963646,50644.472384623965,-1.5921944774513632,2.189069733312583,0
Summer,5202.813289134584,-0.6625325949728225,2949.2585040907798,1.972341583862786,Retailer,4.723144738561491,66350.61379644593,-0.7196665198287312,-0.677387537354996,1
Rainy,4919.622382841991,0.1894799345124144,3767.043427424397,1.2509320044877843,Retailer,6.047377583335617,49727.44613782023,-1.3599174591137488,-0.6091808132627169,1
Rainy,5350.931500336149,-0.9937249282273521,10000.0,1.0113776481464813,Retailer,3.684585168906539,88967.15990632697,-1.1208599096395466,-1.5733011372774837,1
Summer,5470.9420678263095,0.04154426456349061,6186.400899976328,-0.5499831457223087,Retailer,6.203028741718171,65157.0670242284,-0.7473110363716665,-0.4819983379793335,0
Rainy,5124.817860765469,-0.4722662081830856,4501.653839744459,-0.058943266576911076,Retailer,4.445977780741183,67030.09625511078,0.16178233009766768,-0.20812371422684997,1
Summer,5813.319189754709,1.3572996419479535,4622.38485328495,-1.7385056728677568,Distributor,4.788390309821279,72824.4309850515,-0.17279962577150546,-0.5602309241094433,2
,8489.167139396075,1.4255726792893086,,-0.2300651134856308,Internet,7.143132441743887,77875.57717174277,-0.5094657860863275,1.5435571139029334,0
Rainy,5844.415072792333,-0.5280768592442572,6258.168361816822,0.7552553012438854,Retailer,4.363019777932851,58753.847239406416,0.07832661142992695,1.1546728401606634,0
Summer,5224.488400126129,-0.3359395891874012,5338.663191916988,-1.4300661618127382,Retailer,5.427383467987098,57285.69387219809,-0.2915490665000152,0.5538306489085467,2
Rainy,4123.099185719273,-1.7623636184858982,4390.650534346492,0.15927290493255597,Distributor,3.9126867001549837,44452.32575750611,1.3150180339923665,0.9603969111542588,0
Summer,7172.822869563195,-0.41290257017105564,5239.8069295507385,0.6869923523400505,Retailer,8.897034982746003,67776.2528971332,0.1903027089237276,0.2759189948342257,1
Summer,4271.815895789399,-1.5828109835321762,6082.1744213667625,0.8517022462387194,Distributor,0.0,75320.99062525468,-0.574243657508563,0.1257049848651018,1
Rainy,6507.8671537096925,-0.3869333306387342,5456.166409911672,-0.3935570152680799,Retailer,7.7595841201192854,72283.69190362263,0.09391859174007926,-0.16909359339513635,1
Summer,6435.674111185349,1.6634334262299348,4036.301034582253,0.06553944242907814,Retailer,4.622418506598687,60703.516104065755,-0.31400201652629417,0.655873145096457,1
Rainy,3581.427195003802,1.7335124910758428,4473.095706980047,-0.2765478487565458,Internet,5.662977092794633,31295.099867748922,-0.5137088613842031,-1.1429735137169206,0
Summer,6109.226995676786,1.096689694255841,7102.040005874949,0.39814682180868316,Retailer,5.249725178265216,73586.84927067366,-1.2698143783073876,-0.935597648923967,1
Summer,6894.619852130585,-0.6715379452941987,7048.160561253735,0.6850531471735959,Retailer,6.422051331961985,64644.72657289137,0.6902756751176449,1.396874871875364,0
Rainy,6299.859360702636,0.05511443090373899,4811.178518702655,-1.7955000577719853,Retailer,5.54340790008083,63283.63279397375,-2.0063037893316253,1.5387217583701411,2
Summer,7153.360656143563,1.2185171779045583,4639.912198347821,2.0885418584332394,Retailer,2.126706704611634,80765.56802693412,0.46246648502004245,0.8011443898260391,2
Summer,5024.036250652642,-2.0015193105790208,5780.492421629457,0.47508867164357327,Retailer,6.601665083886573,48021.91693060578,1.8688262074811495,0.8611972041992575,0
Rainy,4860.627904394207,-0.2408774234305161,7062.721559841206,-0.7754073736559222,Retailer,3.880710582772848,60908.49318457665,0.3928405936413076,0.3188276535692541,2
Summer,3248.412271926016,-0.3252896265307815,4728.493962072654,0.6268903457412915,Retailer,5.317890866044175,39608.91663844546,-0.38318104381346685,-1.4225277617922296,1
Rainy,5526.027889017096,0.583091943289015,5598.69211170907,-0.243217546548228,Retailer,5.299164169299502,69140.55776474816,1.0588786080540642,-0.752652218676996,0
